word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
EDITS	5	800	447	156	0.022371	0.011186	0.025641	0.083333	0.070866	free	0.52564	0	0.21154			DITS	DITS	0.39317	16.01	13.938	False	True
ESTATE	6	1400	222	57	0.099099	0.081081	0.087719	0.2	0.24324	free	0.89474	0	0	STATE		STATE	STATE	0.66168	15.987	20.464	False	True
AROSE	5	800	578	168	0.025952	0.027682	0.029762	0.0098039	0.027027	free	0.49405	0	0.035714			ROSE	ROSE	0.36974	15.949	15.803	False	True
LATINO	6	1400	150	49	0.013333	0	0	0.04	0.097561	free	0.89796	0	0	LAT		LAT	LAT	0.66401	15.899	15.47	False	True
LOSEN	5	800	302	112	0.02649	0.016556	0.0089286	0.047619	0.011905	free	0.69643	0	0.026786	LOS		LOSE	LOS	0.51658	15.876	14.7	False	True
ARETT	5	800	465	113	0.051613	0.019355	0.079646	0.088235	0.15054	free	0.78761	0	0.035398	RET	TATER	RET	RET	0.58277	15.875	22.03	False	True
SATIS	5	800	406	131	0.060345	0.059113	0.038168	0.057971	0.055046	free	0.63359	0	0	SAT		SAT	SAT	0.4709	15.829	17.553	False	True
SETAL	5	800	777	240	0.018018	0.007722	0	0.030303	0.05641	cellmate	0.30833	0	0.44167		TEALS,LEATS,TALES,STALE	SET	SET	0.23613	15.825	16.258	False	True
TINEAL	6	1400	190	57	0.015789	0.010526	0.017544	0.02439	0.021739	free	0.78947	0	0.017544	TINE		TINE	TINE	0.58551	15.82	16.483	False	True
EOSIN	5	800	347	128	0.0043228	0.0028818	0.0078125	0	0	free	0.60156	0	0.015625	SIN		SIN	SIN	0.4477	15.722	13.943	False	True
IRADES	6	1400	177	60	0.022599	0	0	0.071429	0.078947	free	0.71667	0	0.05			RADE	RADE	0.53276	15.62	12.386	False	True
DREEST	6	1400	157	59	0	0	0	0	0	free	0.72881	0	0.033898	REE		REE	REE	0.54159	15.614	12.347	False	False
