word	len	present	found	opportunity	pts	lc	beliefRaw	beliefWeighted	present_s7to10	found_s7to10	beliefWeighted_s7to10	present_train	found_train	beliefWeighted_train	present_test	found_test	beliefWeighted_test	present_q1	found_q1	beliefWeighted_q1	present_q4	found_q4	beliefWeighted_q4
GROWTH	6	4	0	2.1854	1400	6	0.073766	0.117	1	0	0.19706				1	0	0.22801	1	0	0.25196	1	0	0.2024
GROWTHS	7	2	0	1.1324	1800	7	0.07181	0.15874	1	0	0.20651				1	0	0.24443	1	0	0.2853	1	0	0.21552
GROYNE	6	4	0	1.8785	1400	6	0.073766	0.1271	2	0	0.17092	1	0	0.22855	1	0	0.239				2	0	0.17566
GROYNES	7	1	0	0.24286	1800	7	0.086662	0.23124	1	0	0.27173	1	0	0.29508							1	0	0.28338
GRR	3	163	1	123.16	100	3	0.01296	0.014835	60	1	0.03944	47	1	0.048735	13	0	0.083066	23	0	0.046221	48	1	0.049004
GRRL	4	34	0	26.294	400	4	0.028881	0.028684	14	0	0.065407	12	0	0.074898	2	0	0.20744	3	0	0.21523	13	0	0.069823
GRRLS	5	9	0	6.3754	800	5	0.058209	0.065925	1	0	0.19439	1	0	0.19837				1	0	0.27283	1	0	0.19744
GRUB	4	25	2	19.101	400	4	0.10495	0.13089	8	1	0.20423	5	0	0.12637	3	1	0.38	4	0	0.169	7	1	0.22247
GRUBBLE	7	1	0	0.94444	1800	7	0.086662	0.17															
GRUBS	5	10	2	6.5516	800	5	0.19821	0.30251	3	1	0.44168	1	0	0.23428	2	1	0.53702	2	0	0.17001	2	1	0.52
GRUBSTAKE	9	2	0	0.25	2600	7	0.07181	0.2304										1	0	0.33725			
GRUBSTAKED	10	1	0	0	3000	7	0.086662	0.26419										1	0	0.33725			
GRUBSTAKER	10	1	0	0.25	3000	7	0.086662	0.2304															
GRUBSTAKES	10	1	0	0	3000	7	0.086662	0.26419										1	0	0.33725			
GRUDGE	6	3	0	1.79	1400	6	0.084822	0.13035										1	0	0.26975			
GRUDGED	7	1	0	0.65385	1800	7	0.086662	0.19095										1	0	0.22845			
GRUDGELESS	10	1	0	0.57065	3000	7	0.086662	0.19793															
GRUDGES	7	2	0	1.0118	1800	7	0.07181	0.16578															
GRUE	4	107	7	80.115	400	4	0.072671	0.09474	39	3	0.12201	24	3	0.1879	15	0	0.066824	12	1	0.17812	31	2	0.11218
GRUED	5	25	5	15.64	800	5	0.19914	0.31683	11	3	0.37291	6	3	0.55064	5	0	0.12344	1	0	0.27707	10	3	0.3955
