decile	mean	lo	hi	n	clusters	block	pos
	4.33432	4.28289	4.38964	1358	1358	pos_weak	14
	4.33973	4.28192	4.39244	1354	1354	pos_weak	15
	4.30281	4.24692	4.35754	1354	1354	pos_weak	16
	4.30059	4.24609	4.36345	1354	1354	pos_weak	17
	4.30451	4.23929	4.36437	1353	1353	pos_weak	18
	4.2983	4.2412	4.35707	1351	1351	pos_weak	19
	4.29778	4.24136	4.35646	1350	1350	pos_weak	20
	4.30735	4.24978	4.36167	1347	1347	pos_weak	21
	4.32665	4.26784	4.38125	1347	1347	pos_weak	22
	4.2838	4.22322	4.33722	1346	1346	pos_weak	23
	4.26617	4.20935	4.32526	1345	1345	pos_weak	24
	3.6888	3.6752	3.70216	9023	9023	pos_peer	0
	3.68957	3.67308	3.70615	9023	9023	pos_peer	1
	3.98293	3.96559	4.00188	9023	9023	pos_peer	2
	3.94193	3.92311	3.96075	9023	9023	pos_peer	3
	3.96974	3.94953	3.98937	9023	9023	pos_peer	4
	3.96919	3.95083	3.98988	9023	9023	pos_peer	5
	3.98293	3.96204	4.00177	9023	9023	pos_peer	6
	3.98592	3.96675	4.00321	9023	9023	pos_peer	7
	4.02117	4.00099	4.0408	9023	9023	pos_peer	8
	4.03026	4.00941	4.04649	9023	9023	pos_peer	9
	4.04289	4.02427	4.06339	9023	9023	pos_peer	10
	4.04865	4.0289	4.06881	9023	9023	pos_peer	11
	4.0624	4.04023	4.08373	9023	9023	pos_peer	12
	4.07514	4.05515	4.09369	9023	9023	pos_peer	13
	4.0983	4.0784	4.12099	9023	9023	pos_peer	14
	4.09952	4.07699	4.12145	9023	9023	pos_peer	15
	4.09055	4.0717	4.11256	9023	9023	pos_peer	16
	4.11083	4.09163	4.13041	9023	9023	pos_peer	17
	4.13	4.10919	4.15234	9023	9023	pos_peer	18
	4.13133	4.11087	4.15234	9023	9023	pos_peer	19
	4.14097	4.12177	4.16341	9023	9023	pos_peer	20
	4.1392	4.11908	4.16425	9023	9023	pos_peer	21
	4.13986	4.11922	4.16342	9023	9023	pos_peer	22
	4.15475	4.13364	4.17752	9021	9021	pos_peer	23
	4.16617	4.14297	4.18859	9021	9021	pos_peer	24
