word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
SITARS	6	1400	150	0	150	6	0.02	0	31	0	0	29	0	40	0.1	False	True	0.870968	0	0	0.129032	0.86	0	0.0133333	0.126667	SIT	TAR		0.607848	15.3286	0.600248	17.6717	free	TAR
ENSEAR	6	1400	154	0	154	0	0	0	31	0	0	19	0	35	0	False	False	0.870968	0	0	0.129032	0.863636	0	0	0.136364	SEAR	SEAR		0.607848	15.3286	0.602774	18.2193	free	SEAR
SEROON	6	1400	90	0	90	0	0	0	29	0	0	15	0	30	0	False	False	0.931034	0	0	0.0689655	0.877778	0	0.0333333	0.0888889	ROON	ROO		0.649422	15.3205	0.612539	10.8201	free	ROO
LATINO	6	1400	108	0	108	6	0.0277778	0	28	0	0	11	0.181818	36	0.0555556	False	True	0.964286	0	0	0.0357143	0.953704	0	0	0.0462963	LAT	LAT		0.672437	15.3164	0.665113	14.0986	free	LAT
ETATS	5	800	403	28	403	12	0.0496278	0.0694789	80	20	0.25	73	0.0410959	103	0.00970874	False	True	0.9125	0	0.0625	0.025	0.870968	0	0.08933	0.0397022	TAT	TAT	STATE,TASTE,TATES	0.661073	15.2869	0.634026	25.5166	free	TAT
REDAN	5	800	298	2	298	25	0.045302	0.00671141	77	1	0.012987	62	0.0967742	75	0.106667	False	True	0.597403	0	0.038961	0.363636	0.590604	0	0.057047	0.352349	RED	DAN		0.439675	15.2725	0.436225	14.3553	free	DAN
IDENT	5	800	255	1	255	13	0.027451	0.00392157	67	0	0	48	0.104167	76	0.0657895	False	True	0.671642	0	0.0149254	0.313433	0.635294	0	0.027451	0.337255	DENT	DEN		0.489728	15.2524	0.465276	13.1945	free	DEN
HOSEN	5	800	210	2	210	8	0.0238095	0.00952381	54	0	0	36	0.0277778	78	0.0384615	False	True	0.833333	0	0.0555556	0.111111	0.785714	0	0.0619048	0.152381	HOSE	HOSE	HONES	0.605375	15.1959	0.572623	13.2624	free	HOSE
ESILE	5	800	307	0	307	7	0.0114007	0	64	0	0	60	0.0166667	97	0.0515464	False	True	0.703125	0	0	0.296875	0.631922	0	0	0.368078	SILE	SILE		0.510617	15.1909	0.460967	15.8718	free	SILE
TANTI	5	800	242	3	242	11	0.0289256	0.0123967	52	0	0	44	0.0454545	68	0.0588235	False	True	0.865385	0	0.0384615	0.0961538	0.77686	0	0.053719	0.169421	TAN	TAN		0.626505	15.1439	0.565864	15.0219	free	TAN
ARSON	5	800	239	1	239	6	0.0146444	0.0041841	59	0	0	35	0	55	0.0181818	False	True	0.762712	0	0	0.237288	0.615063	0	0.0125523	0.372385	ARS			0.552167	15.1437	0.450106	11.9529	free	ARS
AREDE	5	800	251	1	251	16	0.0338645	0.00398406	63	0	0	51	0.235294	63	0.0793651	False	True	0.698413	0	0.0952381	0.206349	0.693227	0	0.0956175	0.211155	ARE	ARE	DEARE	0.514125	15.0563	0.510536	14.2599	free	ARE
ESCAR	5	800	211	4	211	4	0.0189573	0.0189573	52	1	0.0192308	26	0.0384615	55	0.0363636	False	True	0.884615	0	0.0192308	0.0961538	0.905213	0	0.0331754	0.0616114	SCAR	SCAR	SCARE,CARES,RACES	0.638543	14.97	0.6539	15.0257	free	SCAR
ENTIRES	7	1800	112	0	112	10	0.0446429	0	28	0	0	23	0.173913	23	0.0869565	False	True	0.75	0	0	0.25	0.785714	0	0	0.214286	TIRES	TIRES		0.509295	14.9149	0.532929	15.0622	free	TIRES
UNITE	5	800	182	5	182	30	0.0961538	0.0274725	61	2	0.0327869	28	0.428571	53	0.132075	False	True	0.770492	0	0	0.229508	0.752747	0	0	0.247253	NITE	NITE		0.557592	14.8812	0.545219	10.5683	free	NITE
DESTAIN	7	1800	94	1	94	11	0.0638298	0.0106383	24	0	0	18	0.222222	23	0.173913	False	True	0.875	0	0	0.125	0.797872	0	0	0.202128	STAIN	STAIN	STAINED	0.592013	14.8605	0.540974	12.58	free	STAIN
LOTAS	5	800	230	11	230	24	0.076087	0.0478261	66	5	0.0757576	39	0.102564	61	0.131148	False	True	0.772727	0	0	0.227273	0.83913	0	0.00434783	0.156522	LOT	LOT		0.559151	14.8304	0.605764	14.3923	free	LOT
