word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
GRITH	5	800	61	22	0.081967	0.11475	0	0.11111	0.04	free	0.54545	0	0	RIT		GRIT	RIT	0.40067	4.0975	2.1774	False	True
BESOT	5	800	86	22	0.005814	0	0	0	0.027027	free	0.54545	0	0			BES	BES	0.40067	4.0975	3.7153	False	True
TIROES	6	1400	154	37	0.0032468	0	0	0	0	free	0.18919	0	0.054054			ROE	ROE	0.13593	4.0912	4.0901	False	True
TACOS	5	800	98	21	0.061224	0.040816	0	0	0.032258	free	0.57143	0	0	COS	COAST	COS	COS	0.41878	4.0881	4.3205	False	True
MAARE	5	800	84	21	0	0	0	0	0	free	0.57143	0	0	ARE		ARE	ARE	0.41878	4.0881	4.4146	False	False
EMACS	5	800	60	17	0	0	0	0	0	free	0.70588	0	0.058824	MAC	MACES,CAMES	MAC	MAC	0.51674	4.0834	3.3992	True	False
MPRET	5	800	61	20	0	0	0	0	0	free	0.6	0	0			PRE	PRE	0.43871	4.0786	3.1891	True	False
LOGAN	5	800	60	20	0.05	0.016667	0	0.2	0.15789	free	0.6	0	0	GAN		LOG	GAN	0.43871	4.0786	3.1529	False	True
HANSA	5	800	79	20	0.012658	0	0	0	0.055556	free	0.6	0	0	HAN		HAN	HAN	0.43871	4.0786	4.4032	False	True
ALMES	5	800	99	30	0.035354	0.010101	0.033333	0.071429	0.10811	free	0.4	0	0.36667		LAMES,LEAMS,MALES,MEALS	MES	MES	0.3254	4.073	3.0925	False	True
ATTAR	5	800	108	19	0.0046296	0	0	0	0.030303	free	0.63158	0	0	TAR		TAR	TAR	0.46073	4.0692	5.7206	False	True
MORON	5	800	55	19	0.054545	0.072727	0	0	0.058824	free	0.63158	0	0	MOR		MOR	MOR	0.46073	4.0692	2.9614	False	True
