gid	dOpen	margin	dN
4471	0.933333	-4500	-5
4472	0.133333	9100	10
4473	-0.0666667	-15800	-8
4474	0.466667	2700	16
4475	-0.333333	4200	16
4478	0.133333	-4700	0
4480	0.0666667	18600	10
4481	0.8	16000	16
4492	0.266667	5700	4
4494	0.8	8400	12
4495	0	4500	5
4497	-0.6	-9300	1
4501	-0.133333	-300	-4
4502	0.466667	5800	-11
4504	-0.2	7800	17
4509	0.933333	6100	-4
4597	-0.266667	-9600	3
4607	0	-100	7
4611	0.2	2800	5
4613	0.666667	500	5
4615	0.266667	3200	2
4617	0.0666667	-3300	2
4619	0.266667	4200	6
4636	0.266667	-400	-5
4637	0.4	500	2
4643	0	13000	19
4647	-0.133333	8200	19
4652	0.333333	-3500	-12
4654	0	6300	13
4658	0.2	1300	12
4660	0.666667	2600	-1
4661	0.333333	9900	21
4662	0	6200	5
4666	0.866667	-1800	-7
4669	0	9700	26
4671	-0.266667	-100	7
4672	0.133333	-1700	7
4683	0.266667	-7200	-5
4684	0.533333	-1700	10
4686	0.0666667	-700	8
4687	0.2	-4000	-3
4689	0.333333	11600	2
4690	0.333333	-1800	6
4692	0.333333	25800	10
4697	0.0666667	7000	26
4698	0	3400	15
4699	-0.133333	10300	18
4700	0	-2000	23
4701	-0.333333	-2100	6
4702	0.666667	15400	8
4703	0.4	-10800	-11
4704	0.6	15700	12
4705	-0.4	3300	10
4706	-0.2	-2800	-11
4707	0.333333	17200	24
4708	0.8	-200	4
4714	0.266667	-1200	2
4715	0.6	18100	32
4721	0.866667	4700	14
4722	0	-1600	0
4726	-0.4	10600	39
4730	-0.133333	7700	10
4740	-0.0666667	1000	4
4746	0.0666667	4400	17
4747	0.266667	-2600	2
4748	-0.0666667	7300	13
4749	0.4	5700	3
4750	0.4	-4500	10
4751	0.6	-700	-1
4752	-0.0666667	5000	17
4753	0	22200	16
4754	0.133333	-5900	0
4755	1	19600	22
4756	0.266667	-100	0
4757	0.466667	34800	25
4758	-0.133333	10400	21
4759	0.0666667	-2100	1
4760	-0.2	5400	21
4762	0.133333	4100	11
4763	-0.0666667	4900	10
4764	0.4	-10800	-1
4774	0.133333	7700	15
4796	0.666667	3500	12
4797	-0.133333	12200	25
4798	0	-6100	20
4799	0.133333	3100	1
4800	-0.2	400	3
4801	0.4	-900	-8
4802	-0.333333	3300	20
4803	0.0666667	1200	8
4804	0.8	4800	5
4805	0.466667	8700	7
4806	1.2	-300	10
4807	0.666667	20700	16
4808	0.466667	-7600	2
4809	0.2	-11300	-12
4810	0.466667	14400	30
4811	0.933333	200	2
4815	0.266667	-9300	-4
4844	0.533333	10700	10
4845	0.2	-8200	-6
4846	0.666667	8800	1
4847	0.2	4300	11
4848	-0.466667	17600	46
4849	0.8	2500	9
4850	0.2	5600	-1
4851	0.466667	3100	23
4852	-0.133333	-2800	2
4853	0.6	6600	16
4854	0.466667	-1100	3
4855	0.133333	2500	1
4860	0.266667	-2300	9
4861	-0.0666667	3400	2
4863	0.866667	-10200	-8
4867	0.4	7900	7
4874	0.133333	-1100	-3
4875	0.6	-4000	-7
4876	0.866667	16700	3
5021	0.866667	2300	13
5490	0.333333	-1900	1
5495	0.6	9900	18
5496	0.466667	3800	13
5497	0.133333	-5200	13
5498	-0.0666667	5800	-3
5501	-0.2	10300	0
5503	0.533333	-400	-3
5504	-0.0666667	-10800	0
5589	0.333333	3200	11
5590	0.533333	10300	16
5591	0.0666667	10900	19
5592	0.933333	14300	17
5593	0.6	-3000	11
5595	0.133333	11800	22
5597	0.733333	11200	27
5598	0.266667	13300	27
5670	-0.0666667	600	2
5672	1	12700	6
5674	0	9200	25
5675	0.333333	-7600	-5
5676	-0.266667	-5500	0
5677	0.4	17000	22
5678	0.333333	27700	25
5679	-0.2	5200	10
5681	0.533333	7100	-2
5682	0.466667	4500	13
5749	0.533333	3100	13
5750	0.133333	2300	12
5752	1.06667	3900	13
5753	1.26667	16900	11
5775	0.133333	5900	9
5776	0.133333	4100	4
5778	-0.0666667	-1100	-7
5779	0.533333	24300	11
5780	0.733333	11300	2
5800	-0.4	-3500	17
5804	-0.133333	7000	28
5805	-0.266667	3700	13
5807	0.6	16400	9
