word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
TEAS	232	106.428	99	4	400	1432	648	545	92800	42571	0.452514	0.380587	-41200	AEST	10	TEA
TATES	110	52.9949	52	5	800	456	229	251	88000	42395.9	0.502193	0.550439	17600	AESTT	6	TATE
HARES	114	52.8622	52	5	800	464	220	237	91200	42289.7	0.474138	0.510776	13600	AEHRS	5	HARE
LASTER	62	30.0972	38	6	1400	316	194	199	86800	42136	0.613924	0.629747	7000	AELRST	12	ASTER
RATINES	47	23.3738	30	7	1800	191	30	63	84600	42072.8	0.157068	0.329843	59400	AEINRST	11	RATINE
RATER	116	52.5167	60	5	800	622	387	349	92800	42013.4	0.622186	0.561093	-30400	AERRT	4	RATE
SEAR	239	103.979	91	4	400	1592	931	748	95600	41591.5	0.584799	0.469849	-73200	AERS	7	SEA
ARETS	99	51.9853	63	5	800	1123	444	162	79200	41588.3	0.39537	0.144256	-225600	AERST	13	ARET
TEARED	61	29.7027	33	6	1400	199	77	109	85400	41583.8	0.386935	0.547739	44800	ADEERT	3	EARED
TIER	236	103.925	98	4	400	1300	372	360	94400	41570.1	0.286154	0.276923	-4800	EIRT	4	TIE
EATERS	62	29.6833	31	6	1400	324	183	165	86800	41556.6	0.564815	0.509259	-25200	AEERST	9	EATER
NITERS	68	29.6661	33	6	1400	341	208	184	95200	41532.5	0.609971	0.539589	-33600	EINRST	10	NITER
TARS	240	103.745	98	4	400	1170	244	338	96000	41497.9	0.208547	0.288889	37600	ARST	6	TAR
NOTES	111	51.8153	59	5	800	489	265	276	88800	41452.3	0.541922	0.564417	8800	ENOST	6	NOTE
TONIES	55	29.5038	34	6	1400	204	18	63	77000	41305.4	0.0882353	0.308824	63000	EINOST	1	ONIE
TRINES	63	29.5025	34	6	1400	288	154	161	88200	41303.5	0.534722	0.559028	9800	EINRST	10	TRINE
LADER	104	51.6128	69	5	800	241	32	120	83200	41290.2	0.13278	0.497925	70400	ADELR	3	LADE
LEAST	115	51.5974	58	5	800	443	129	174	92000	41277.9	0.291196	0.392777	36000	AELST	12	LEAS
NEATS	118	51.5379	45	5	800	635	163	184	94400	41230.3	0.256693	0.289764	16800	AENST	6	NEAT
AIRED	110	51.4811	48	5	800	409	90	149	88000	41184.9	0.220049	0.364303	47200	ADEIR	5	IRED
