affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
IR-	89	39	43600	0.4382	64	9	0.14062	0.99995	1	-26127
-GY	59	6	43600	0.10169	41	8	0.19512	0.092706	0.28319	4521.9
ROU-	33	9	43600	0.27273	30	11	0.36667	0.21186	0.46832	5617.6
LOU-	35	8	42600	0.22857	30	13	0.43333	0.03922	0.16792	11180
HY-	38	0	42400	0	34	0	0		1	0
-IGN	38	10	42400	0.26316	38	5	0.13158	0.92521	1	-7421.1
TOU-	33	7	42400	0.21212	35	7	0.2	0.54916	0.82793	-647.27
-TRE	30	0	42000	0	34	5	0.14706	0.014349	0.07793	6176.5
-OO	52	3	41600	0.057692	44	5	0.11364	0.16153	0.39141	2461.5
HAL-	36	9	41400	0.25	30	1	0.033333	0.99275	1	-11873
MEN-	30	4	40400	0.13333	31	4	0.12903	0.51984	0.8022	-199.57
-NDS	50	23	39400	0.46	50	16	0.32	0.92438	1	-10024
-OI	49	0	39200	0	38	0	0		1	0
LAS-	37	13	38000	0.35135	33	15	0.45455	0.1895	0.43865	5964.6
-VER	36	10	37600	0.27778	35	11	0.31429	0.36807	0.65319	1883.8
-RNS	34	11	37400	0.32353	30	13	0.43333	0.18261	0.42609	5841.6
-VES	37	11	37200	0.2973	32	15	0.46875	0.071375	0.23792	9018.4
-IF	40	0	36000	0	37	1	0.027027	0.14765	0.37861	972.97
-OM	39	1	33200	0.025641	43	1	0.023256	0.52787	0.80536	-81.097
KE-	36	1	33000	0.027778	38	2	0.052632	0.29397	0.56292	840.06
-PA	39	0	33000	0	30	0	0		1	0
RH-	47	8	32400	0.17021	34	2	0.058824	0.93371	1	-4388.7
-PY	40	4	32400	0.1	34	7	0.20588	0.10098	0.30151	3832.9
-OW	36	1	32200	0.027778	32	1	0.03125	0.4663	0.76181	114.58
-AM	30	0	30600	0	31	2	0.064516	0.078593	0.25392	1974.2
-DA	43	5	30400	0.11628	46	6	0.13043	0.41966	0.72633	486.96
-OC	36	1	30400	0.027778	30	0	0	0.82118	1	-866.67
-EW	41	5	28800	0.12195	40	4	0.1	0.62335	0.88448	-720
-PE	65	37	28800	0.56923	50	25	0.5	0.76985	0.99624	-4250.8
-AP	38	4	28800	0.10526	41	3	0.073171	0.692	0.94042	-1027
-CER	40	21	28200	0.525	41	15	0.36585	0.92523	1	-9166.8
-LL	42	18	25000	0.42857	33	13	0.39394	0.6188	0.88001	-1489.2
-WS	44	18	24400	0.40909	35	11	0.31429	0.80741	1	-3678.4
-NGS	35	22	22600	0.62857	32	15	0.46875	0.90559	1	-9940.9
-HT	35	12	19600	0.34286	35	12	0.34286	0.5	0.78554	0
-V	35	4	15600	0.11429	33	9	0.27273	0.048398	0.18822	2725.2
