word	len	trials	finds	vowelInitial	removedByFlux	commonEnglish	comparable	compP10	compMedian	pZeroAtP10	pZeroAtMedian	compP10SameInitial	compMedianSameInitial	pZeroAtP10SameInitial	pZeroAtMedianSameInitial	qAtMedian	qAtMedianSameInitial	qAtP10SameInitial
EDHS	4	426	0	True	False	False	830	0.01878	0.1921	0.0003102	3.473e-40	0.004615	0.02782	0.1394	6.021e-06	7.168e-39	1.036e-05	0.3971
EELY	4	146	0	True	False	True	858	0.01852	0.1617	0.06528	6.577e-12	0.006703	0.03804	0.3746	0.003473	2.124e-11	0.005006	0.3971
EEW	3	380	0	True	False	False	222	0.02337	0.2272	0.0001251	2.865e-43	0.008656	0.05252	0.03675	1.249e-09	7.527e-42	3.54e-09	0.3647
EGMA	4	146	0	True	False	True	858	0.01852	0.1617	0.06528	6.577e-12	0.006703	0.03804	0.3746	0.003473	2.124e-11	0.005006	0.3971
EHED	4	272	0	True	False	False	926	0.0188	0.191	0.005729	9.031e-26	0.004638	0.02694	0.2824	0.0005947	9.849e-25	0.0009628	0.3971
EIDENT	6	116	0	True	False	True	1330	0.01111	0.1203	0.2736	3.47e-07	0.008929	0.03125	0.3533	0.02515	4.548e-07	0.02943	0.3971
EIDOLA	6	110	0	True	False	False	1373	0.01163	0.1154	0.2762	1.39e-06	0.009434	0.03125	0.3525	0.03043	1.628e-06	0.03462	0.3971
EIDOS	5	322	0	True	False	False	1008	0.01047	0.1639	0.03375	9.383e-26	0.004202	0.04355	0.2577	5.928e-07	9.861e-25	1.035e-06	0.3971
EIGNE	5	194	0	True	False	True	1408	0.008621	0.1383	0.1864	2.888e-13	0.005319	0.02632	0.3553	0.005664	1.085e-12	0.007832	0.3971
EIKS	4	146	0	True	False	False	858	0.01852	0.1617	0.06528	6.577e-12	0.006703	0.03804	0.3746	0.003473	2.124e-11	0.005006	0.3971
EISEL	5	494	0	True	False	False	706	0.01057	0.1867	0.005244	4.675e-45	0.005033	0.03408	0.08271	3.638e-08	1.59e-43	7.846e-08	0.3971
EISELS	6	106	0	True	False	False	1367	0.01163	0.1125	0.2894	3.205e-06	0.009434	0.03125	0.3661	0.03455	3.424e-06	0.03878	0.3971
ELEMI	5	102	0	True	False	True	1476	0.01316	0.119	0.259	2.427e-06	0.009922	0.03077	0.3617	0.04126	2.637e-06	0.04388	0.3971
ELHI	4	298	0	True	False	False	931	0.02013	0.1905	0.002332	4.492e-28	0.004299	0.02624	0.2769	0.0003621	5.644e-27	0.0005928	0.3971
