word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
TENNIS	6	24	0	14.5822	1400	6	0.0167842	0.0215915	7	2	0.285714	0.000311119	0.0188667	9600	TEN	branch miss	topQuartile
ORCAS	5	30	0	22.4509	800	5	0.0195386	0.019723	5	2	0.4	2.21074e-07	4.85976e-05	9600		true gap	topQuartile
OLDEST	6	20	0	12.8164	1400	6	0.0198066	0.024332	9	3	0.333333	0.000300729	0.0184917	9333.33	OLDE	branch miss	topQuartile
ALATE	5	52	0	36.226	800	5	0.01169	0.0125195	18	4	0.222222	2.111e-06	0.000299387	9244.44	LATE	branch miss	topQuartile
ARIEL	5	61	0	42.5936	800	5	0.0100401	0.0107111	16	3	0.1875	3.15664e-06	0.000420551	9150	RIEL	branch miss	topQuartile
HORST	5	48	0	35.1492	800	5	0.0126111	0.0128875	17	4	0.235294	2.55701e-06	0.000347815	9035.29	HORS	branch miss	topQuartile
MITRED	6	19	0	10.8971	1400	6	0.0207402	0.0282261	6	2	0.333333	0.000451093	0.0252641	8866.67	MITRE	branch miss	topQuartile
SENILE	6	22	0	11.1254	1400	6	0.0181706	0.0276989	7	2	0.285714	0.000609794	0.0323007	8800	SEN	branch miss	topQuartile
TOISES	6	25	0	14.9403	1400	6	0.0161674	0.0211094	8	2	0.25	0.000752543	0.0378121	8750	OIS	branch miss	topQuartile
MENED	5	18	0	12.4499	800	5	0.0308284	0.033873	5	3	0.6	6.87195e-08	1.67847e-05	8640	MENE	branch miss	topQuartile
TAWER	5	25	0	17.304	800	5	0.0230568	0.0251243	7	3	0.428571	8.39554e-07	0.000135728	8571.43	TAW	branch miss	topQuartile
IDENT	5	67	0	49.0515	800	5	0.00917667	0.00934253	19	3	0.157895	9.98959e-06	0.00117118	8463.16	DENT	branch miss	topQuartile
PETRE	5	37	0	27.6885	800	5	0.0160994	0.0161827	7	2	0.285714	3.91979e-06	0.000514428	8457.14	PET	branch miss	topQuartile
PORINS	6	12	0	5.92199	1400	6	0.0309546	0.0482366	6	3	0.5	0.000244141	0.015556	8400	PORIN	branch miss	topQuartile
RAMET	5	56	0	39.1559	800	5	0.0108943	0.011617	16	3	0.1875	8.91474e-06	0.0010738	8400	RAM	branch miss	topQuartile
RETORE	6	24	0	17.3138	1400	6	0.0167842	0.0183878	8	2	0.25	0.00100339	0.0461928	8400	TORE	branch miss	topQuartile
ORANG	5	37	0	23.8014	800	5	0.0160994	0.0186698	11	3	0.272727	7.63484e-06	0.000945538	8072.73	RANG	branch miss	topQuartile
SAROS	5	50	0	35.4726	800	5	0.0121331	0.0127747	10	2	0.2	1.42725e-05	0.00156872	8000	SAR	branch miss	topQuartile
TEIND	5	70	0	49.3185	800	5	0.00879835	0.00929343	14	2	0.142857	2.05932e-05	0.00201196	8000	TEIN	branch miss	topQuartile
OUTRAN	6	17	0	8.46539	1400	6	0.0228992	0.035405	6	2	0.333333	0.00101496	0.0462411	7933.33	OUT	branch miss	topQuartile
EMOTER	6	15	0	9.84463	1400	6	0.0255598	0.0309415	8	3	0.375	0.000867362	0.0410038	7875	MOTE	branch miss	topQuartile
DIANE	5	59	0	39.7769	800	5	0.0103652	0.0114422	12	2	0.166667	2.12964e-05	0.0020578	7866.67	ANE	branch miss	topQuartile
HILTED	6	14	0	10.3238	1400	6	0.0271362	0.0296433	5	2	0.4	0.000783642	0.0378602	7840	TED	branch miss	topQuartile
