affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-OON	52	2	72800	0.0384615	38	3	0.0789474	0.203785	0.457976	3060.73
-YS	73	16	72600	0.219178	76	12	0.157895	0.830783	1	-5233.6
-IRE	55	6	72200	0.109091	50	9	0.18	0.149858	0.379903	5828.73
TRO-	57	10	72200	0.175439	36	2	0.0555556	0.953501	1	-10477.8
SAI-	63	17	72000	0.269841	36	8	0.222222	0.700072	0.940416	-4619.05
DOR-	49	1	71600	0.0204082	32	4	0.125	0.0279286	0.134313	7635.2
-RET	68	19	71400	0.279412	58	14	0.241379	0.685793	0.935907	-3727.18
GRA-	56	11	71400	0.196429	48	4	0.0833333	0.94914	1	-9907.14
-AY	88	5	70400	0.0568182	70	10	0.142857	0.0334208	0.152573	6401.3
ISO-	40	0	70400	0	37	0	0		1	0
-SOR	52	2	70400	0.0384615	35	4	0.114286	0.0855581	0.269508	5550.33
SIL-	48	4	70000	0.0833333	33	9	0.272727	0.0112533	0.0662577	14393.9
FR-	76	8	69800	0.105263	45	7	0.155556	0.208582	0.464334	3832.28
-AIN	84	36	69600	0.428571	75	48	0.64	0.00383784	0.0318137	25456
HOS-	46	2	69200	0.0434783	43	10	0.232558	0.00452894	0.0356654	13613.8
-UE	69	0	69000	0	60	1	0.0166667	0.140838	0.3697	1150
BI-	75	13	68600	0.173333	69	16	0.231884	0.190725	0.438645	4754.32
-DLE	61	13	68400	0.213115	66	19	0.287879	0.166122	0.400984	6534.38
STI-	79	32	68200	0.405063	67	25	0.373134	0.653237	0.904483	-3646.29
BL-	105	42	67800	0.4	73	32	0.438356	0.304779	0.57661	4495.34
-ILY	41	0	67800	0	33	2	0.0606061	0.0550122	0.202676	4109.09
ROA-	52	11	67400	0.211538	37	10	0.27027	0.260066	0.524504	4980.46
EC-	60	4	67400	0.0666667	45	2	0.0444444	0.686332	0.935907	-1568.89
-MA	78	2	67400	0.025641	57	6	0.105263	0.0264794	0.129318	5493.93
NON-	42	0	67200	0	31	0	0		1	0
DEA-	58	18	66400	0.310345	56	21	0.375	0.233476	0.488672	6077.59
-RAN	44	0	66400	0	38	5	0.131579	0.0065136	0.0455952	8736.84
AMO-	40	0	66000	0	34	0	0		1	0
POT-	49	9	66000	0.183673	35	4	0.114286	0.806993	1	-5537.14
-ARD	47	2	65800	0.0425532	33	2	0.0606061	0.35766	0.649354	1238.43
-ME	132	66	65200	0.5	99	35	0.353535	0.986818	1	-17634.3
DON-	44	2	65200	0.0454545	32	7	0.21875	0.0104847	0.0660534	11853.4
DET-	55	16	65000	0.290909	60	13	0.216667	0.820119	1	-6904.55
FL-	91	35	65000	0.384615	67	14	0.208955	0.990841	1	-18584.8
SAN-	48	3	65000	0.0625	54	5	0.0925926	0.286293	0.554969	2082.41
PL-	136	75	65000	0.551471	100	32	0.32	0.999792	1	-34535.4
-W	196	51	64800	0.260204	127	40	0.314961	0.142632	0.372855	4709.06
HER-	45	3	64800	0.0666667	39	3	0.0769231	0.427778	0.735404	711.795
-ONE	45	2	64600	0.0444444	51	9	0.176471	0.0213486	0.109346	8898.56
THE-	55	11	64400	0.2	44	6	0.136364	0.797932	1	-5078.18
-IAE	45	0	64200	0	46	0	0		1	0
-B	194	45	64000	0.231959	174	25	0.143678	0.984392	1	-7274.32
-LAS	53	8	63800	0.150943	31	4	0.129032	0.609082	0.872095	-1643.34
SEC-	43	0	63800	0	43	5	0.116279	0.0106099	0.0661808	7418.6
TAN-	43	4	63400	0.0930233	38	8	0.210526	0.0686922	0.230192	8107.71
-SEY	46	1	63000	0.0217391	38	2	0.0526316	0.223812	0.481235	1989.47
URA-	40	2	62800	0.05	34	2	0.0588235	0.433574	0.740249	578.824
-OID	40	0	62800	0	36	0	0		1	0
-ISM	38	0	62800	0	34	0	0		1	0
WA-	93	31	62600	0.333333	83	28	0.337349	0.477535	0.777383	382.329
-AIS	43	0	62200	0	33	0	0		1	0
KO-	62	1	62200	0.016129	42	0	0	0.795893	1	-1016.13
-CS	70	6	62000	0.0857143	67	14	0.208955	0.0205669	0.106206	8380.38
-AC	73	0	62000	0	52	6	0.115385	0.00146724	0.0144431	7153.85
MER-	43	2	61800	0.0465116	40	1	0.025	0.700087	0.940416	-1389.65
TY-	66	9	61800	0.136364	56	2	0.0357143	0.973455	1	-6944.81
NOT-	41	4	61800	0.097561	34	6	0.176471	0.158468	0.388185	5318.51
-EOS	45	1	61600	0.0222222	35	1	0.0285714	0.428402	0.735404	400
-KER	98	55	61400	0.561224	81	52	0.641975	0.136396	0.362571	11175.9
-SEN	44	1	61400	0.0227273	45	5	0.111111	0.048197	0.188215	5550.51
-INO	43	0	60600	0	42	2	0.047619	0.0737962	0.240889	2885.71
-MER	88	45	60600	0.511364	67	38	0.567164	0.245083	0.506237	6963.91
SOU-	42	3	60600	0.0714286	40	9	0.225	0.0246104	0.124036	10012.9
-NI	72	4	60400	0.0555556	68	5	0.0735294	0.332369	0.614055	1143.14
TAL-	44	4	60400	0.0909091	33	8	0.242424	0.0348388	0.154916	10181.8
-ADS	43	2	60200	0.0465116	40	1	0.025	0.700087	0.940416	-1355.23
BAR-	41	3	60000	0.0731707	49	8	0.163265	0.096874	0.292013	5856.15
-NG	184	127	59800	0.690217	168	117	0.696429	0.449782	0.752508	1443.48
SHA-	61	21	59600	0.344262	42	12	0.285714	0.734267	0.967758	-5327.87
KA-	59	0	59600	0	43	2	0.0465116	0.0471595	0.186858	2772.09
-LOT	41	1	59600	0.0243902	37	3	0.0810811	0.12851	0.355094	3458.14
-KED	93	51	59200	0.548387	69	44	0.637681	0.126901	0.353752	11947.5
LY-	58	1	59000	0.0172414	54	1	0.0185185	0.479664	0.777689	76.3729
-HO	71	0	58400	0	42	3	0.0714286	0.0112303	0.0662577	4171.43
-ESS	37	2	57800	0.0540541	39	4	0.102564	0.216557	0.470046	2939.71
-RIA	40	0	57600	0	31	0	0		1	0
CHI-	39	2	57400	0.0512821	34	2	0.0588235	0.443843	0.747442	453.997
-CED	55	17	57200	0.309091	43	15	0.348837	0.33857	0.621863	3219.45
OP-	50	0	57200	0	35	0	0		1	0
SUN-	34	0	56800	0	33	2	0.0606061	0.0725033	0.238908	3442.42
BEA-	50	17	56600	0.34	40	17	0.425	0.204272	0.457976	7276
-ETA	40	0	56400	0	39	1	0.025641	0.154051	0.383554	1446.15
-IR	68	12	56200	0.176471	68	11	0.161765	0.590469	0.861085	-967.647
