word	len	present	found	opp	beliefRaw	beliefWeighted
SETONS	6	36	0	22.554	0.0115135	0.0143135
SETOUS	6	10	0	7.72218	0.0360236	0.038389
SETS	4	257	83	183.28	0.32203	0.451627
SETT	4	133	59	97.7948	0.4384	0.597762
SETTER	6	30	20	24.4693	0.634517	0.79556
SETTERS	7	11	7	9.11311	0.573924	0.732251
SETTLE	6	13	7	10.4199	0.489039	0.637268
SETTS	5	51	22	39.3553	0.421075	0.550179
SEV	3	82	17	62.5893	0.212176	0.276271
SEVER	5	15	10	12.2511	0.598853	0.762113
SEVS	4	15	1	12.0264	0.106807	0.123444
SEW	3	134	45	105.053	0.335329	0.428043
SEWAN	5	22	0	15.5857	0.0258496	0.0276526
SEWAR	5	27	0	19.8689	0.0215077	0.0221072
SEWED	5	11	5	7.99308	0.409672	0.577052
SEWEL	5	12	0	9.34938	0.0433538	0.0435623
SEWEN	5	14	0	11.1055	0.0381827	0.0374885
SEWER	5	11	4	8.53259	0.337038	0.446214
SEWIN	5	19	0	15.0547	0.0294122	0.02854
SEWN	4	46	3	35.7707	0.0805368	0.0988998
SEWS	4	28	12	20.209	0.408058	0.569956
SEX	3	17	7	14.1785	0.394717	0.4831
SEY	3	154	16	119.818	0.109009	0.138428
SEYEN	5	15	0	11.601	0.0360337	0.0360695
SEYS	4	31	5	24.1874	0.172444	0.218269
SEZ	3	21	1	18.1934	0.08875	0.0925698
SHA	3	212	151	162.565	0.705372	0.922162
SHAD	4	67	27	52.0662	0.395164	0.511738
SHADE	5	36	18	26.7489	0.480819	0.654142
SHADER	6	25	13	14.26	0.493872	0.868635
SHADES	6	11	5	6.86083	0.4117	0.670958
SHADS	5	10	3	6.50652	0.285113	0.434217
SHAFT	5	10	5	7.59596	0.441759	0.602274
SHAG	4	30	8	23.5269	0.266012	0.340653
SHAH	4	18	0	14.982	0.0465282	0.0438436
SHAIRD	6	11	0	6.27953	0.0332973	0.0458982
SHALE	5	31	20	23.7749	0.611242	0.810303
SHALED	6	10	4	7.66445	0.363531	0.495254
SHALES	6	14	9	9.76392	0.582231	0.859928
SHALL	5	10	0	7.43361	0.050145	0.0529146
