word	rank	track	len	pts	hook	hookClass	hookRank	hookOwned	myRate	fieldRate	topQRate	nTopQ	achievable	rateGap	presPerGame	nCur	expectedGain	expectedGainShrunk	belief	status	findability	findabilityScore	freeShare	pathCount	vowelInitial	pAppear_4x4_casual	pAppear_4x4_goodCasual	pAppear_4x4_spam	pAppear_5x5_casual	pAppear_5x5_goodCasual	pAppear_5x5_spam
DOITS	821	alpha	5	800	DOI	additive	378	0	0.028571	0.070681	0.12069	58	0.12069	0.092118	0.024433	70	1.8006	1.8504	0.05196	unknown	findable	0.32068	0.071429	1.3857	False	0.014192	0.016393	0.01928	0.028316	0.036545	0.044533
SPALE	822	par	5	800	PALE	additive	321	6	0.25926	0.35	0.37838	37	0.37838	0.11912	0.018848	54	1.7961	1.5898	0.35883	learning	findable	0.95555	0.94444	1.4815	False	0.009604	0.012594	0.02106	0.01425	0.020689	0.027113
DREAD	823	alpha	5	800	DREA	additive	273	2	0.019231	0.058394	0.14286	35	0.14286	0.12363	0.01815	52	1.7951	1.8315	0.042238	unknown	findable	0.33323	0.40385	1.0962	False	0.011578	0.015088	0.021795	0.017096	0.024932	0.031036
DARER	824	par	5	800	ARER	additive	287	12	0.32258	0.36616	0.42623	61	0.42623	0.10365	0.02164	62	1.7944	1.6115	0.45446	learning	findable	0.76431	0.6129	1.5	False	0.015146	0.021037	0.03845	0.020068	0.032215	0.046084
TILT	825	par	4	400	ILT	additive	282	12	0.29592	0.33739	0.42683	82	0.42683	0.13091	0.034206	98	1.7912	1.6424	0.39703	learning	findable	0.57566	0.62245	1.2653	False	0.029405	0.031987	0.03737	0.043274	0.052502	0.061449
RIPER	826	par	5	800	IPE	additive	99	11	0.28571	0.43939	0.46875	32	0.46875	0.18304	0.012216	35	1.7888	1.5668	0.41677	learning	findable	0.57928	0.54286	1.3143	False	0.00748	0.009055	0.0138	0.011669	0.016406	0.021197
BARDE	827	par	5	800	ARDE	additive	242	11	0.27273	0.26667	0.46667	30	0.46667	0.19394	0.011518	33	1.7871	1.5666	0.37596	learning	findable	0.95175	0.84848	1.5758	False	0.006819	0.008557	0.0132	0.011476	0.015894	0.019127
STRIAE	828	alpha	6	1400	STRI	additive	68	22	0	0.0074349	0.046875	64	0.046875	0.046875	0.027225	78	1.7866	1.9512	0.010445	unknown	findable	0.52804	0.064103	1.4872	False	0.014282	0.022607	0.05622	0.018045	0.030839	0.048038
HORAS	829	par	5	800	HOR	additive	232	7	0.089888	0.1343	0.16176	68	0.16176	0.071877	0.031065	89	1.7863	1.8015	0.13019	unknown	findable	0.84226	0.74157	1.4607	False	0.016971	0.021315	0.02891	0.032213	0.046136	0.057565
BLATS	830	par	5	800	BLAT	additive	291	4	0.15686	0.22662	0.28205	39	0.28205	0.12519	0.017801	51	1.7828	1.6863	0.21623	unknown	findable	0.66524	0.72549	1.2745	False	0.006919	0.009536	0.01804	0.011864	0.018012	0.024883
YARE	831	par	4	400	AER	cellmate	153	18	0.081481	0.11634	0.17593	108	0.17593	0.094444	0.04712	135	1.7801	1.7875	0.11292	unknown	findable	0.64893	0.52593	1.3926	False	0.028148	0.032737	0.03581	0.047113	0.058188	0.064158
TILE	832	par	4	400	ILE	additive	3704	81	0.59603	0.59754	0.63821	246	0.63821	0.042185	0.10541	302	1.7787	1.4822	0.81898	known	findable	0.74836	0.67219	1.394	False	0.071419	0.085506	0.12269	0.096884	0.12968	0.16316
YATE	833	alpha	4	400	YAT	additive	512	0	0.018519	0.073826	0.13636	88	0.13636	0.11785	0.037696	108	1.7769	1.8094	0.034016	unknown	findable	0.35812	0.25	1.3704	False	0.026299	0.027829	0.029675	0.045358	0.050917	0.055175
MAILE	834	par	5	800	MAI	additive	163	16	0.44643	0.50904	0.56	50	0.56	0.11357	0.019546	56	1.7759	1.4687	0.64065	learning	findable	0.74696	0.71429	1.3571	False	0.010823	0.013369	0.020445	0.018716	0.026612	0.035228
TRIPE	835	par	5	800	IPE	additive	99	11	0.1875	0.24695	0.32	50	0.32	0.1325	0.016754	48	1.7759	1.6779	0.28115	unknown	findable	0.56405	0.4375	1.3542	False	0.010375	0.012885	0.02168	0.016992	0.022764	0.029018
SHARD	836	par	5	800	SHA	additive	357	28	0.17073	0.29866	0.32558	43	0.32558	0.15485	0.014311	41	1.7728	1.6725	0.22535	unknown	findable	0.67062	0.78049	1.2439	False	0.009325	0.011403	0.01534	0.020498	0.02616	0.029305
TSAR	837	alpha	4	400	RTS	cellmate	206	38	0.0021322	0.0079491	0.029197	411	0.029197	0.027065	0.1637	469	1.7722	1.8694	0.0053402	unknown	findable	0.58338	0.4371	1.3731	False	0.097906	0.13915	0.26928	0.11956	0.18033	0.24238
STATE	838	par	5	800	TATE	additive	128	14	0.61832	0.58835	0.66667	105	0.66667	0.048346	0.045724	131	1.7685	1.3186	0.81914	known	findable	0.9711	0.8855	1.6031	False	0.033715	0.047095	0.08863	0.032182	0.049466	0.07027
MOSH	839	par	4	400	OMS	cellmate	413	7	0.15789	0.32407	0.38	50	0.38	0.22211	0.019895	57	1.7675	1.6566	0.22004	unknown	findable	0.44015	0.5614	1.1579	False	0.014756	0.01378	0.008915	0.035592	0.037416	0.035943
BRINE	840	par	5	800	BRIN	additive	329	4	0.38095	0.3835	0.53125	32	0.53125	0.1503	0.01466	42	1.7627	1.439	0.53531	learning	findable	0.73055	0.7619	1.3095	False	0.007067	0.008731	0.012955	0.013303	0.018161	0.022928
