word	len	present	found	opportunity	pts	lc	beliefRaw	beliefWeighted	present_s7to10	found_s7to10	beliefWeighted_s7to10	present_train	found_train	beliefWeighted_train	present_test	found_test	beliefWeighted_test	present_q1	found_q1	beliefWeighted_q1	present_q4	found_q4	beliefWeighted_q4
HOUSING	7	7	5	5.3449	1800	7	0.58344	0.83222	2	1	0.4578	1	1	0.6814	1	0	0.30819	2	2	0.90022	2	1	0.45582
HOUSINGS	8	1	1	1	2200	7	0.41556	0.63904										1	1	0.69212			
HOUSLING	8	2	0	1.8381	2200	7	0.059418	0.095692	1	0	0.17463	1	0	0.18505				1	0	0.16515	1	0	0.17201
HOUSLINGS	9	1	0	0.83809	2600	7	0.079392	0.14809										1	0	0.16515			
HOUSTONIA	9	1	0	0.13377	2600	7	0.079392	0.24107															
HOUT	4	114	57	83.549	400	4	0.49213	0.67555	43	22	0.63508	35	17	0.60299	8	5	0.67587	17	9	0.77713	43	22	0.63498
HOUTED	6	19	1	13.101	1400	6	0.06586	0.091821	11	0	0.03739	8	0	0.056488	3	0	0.12216				11	0	0.037091
HOUTING	7	6	3	4.2298	1800	7	0.4058	0.62678	4	2	0.66945	4	2	0.66151							4	2	0.66763
HOUTINGS	8	3	1	2.1553	2200	7	0.24849	0.40417	2	1	0.64463	2	1	0.63265							2	1	0.6416
HOUTS	5	69	35	53.204	800	5	0.49617	0.6494	30	15	0.59614	25	11	0.52517	5	4	0.81057	10	6	0.78366	30	15	0.59606
HOVE	4	28	18	20.805	400	4	0.59639	0.82511	5	3	0.63381	4	2	0.52627	1	1	0.62469	5	4	0.8641	5	3	0.63322
HOVEA	5	11	0	8.727	800	5	0.046277	0.043834	1	0	0.20887				1	0	0.24092	2	0	0.14854	1	0	0.20826
HOVEAS	6	4	0	2.4717	1400	6	0.063916	0.085012															
HOVED	5	11	3	8.6079	800	5	0.26318	0.3449	1	1	0.61836	1	1	0.62106				2	1	0.47546	1	1	0.61748
HOVEL	5	7	3	5.9199	800	5	0.37027	0.47201										1	1	0.73043			
HOVELED	7	2	0	0.50642	1800	7	0.059418	0.18096										1	0	0.32857			
HOVELS	6	2	1	1.8108	1400	6	0.33099	0.45374															
HOVEN	5	10	1	8.3406	800	5	0.12782	0.14852	3	0	0.13027	2	0	0.17005	1	0	0.24092	1	0	0.21736	3	0	0.12992
HOVER	5	15	8	11.749	800	5	0.48456	0.64337	2	1	0.49824	1	0	0.22561	1	1	0.67464	3	2	0.67063	2	1	0.49759
HOVERED	7	1	0	0.71237	1800	7	0.079392	0.15904															
HOVERER	7	1	0	0.24424	1800	7	0.079392	0.21946										1	0	0.25502			
HOVERERS	8	1	0	0.24424	2200	7	0.079392	0.21946										1	0	0.25502			
HOVERS	6	7	4	5.6589	1400	6	0.47683	0.64056										3	2	0.73314			
HOVES	5	15	12	12.435	800	5	0.70888	0.9011	2	2	0.78218	1	1	0.62106	1	1	0.67464	3	2	0.67063	2	2	0.78142
HOVING	6	4	1	2.893	1400	6	0.22461	0.32932															
