word	len	present	found	opp	beliefRaw	beliefWeighted
AFORE	5	40	0	30.1408	0.0172712	0.0180011
AFREET	6	13	0	7.37444	0.0369441	0.0549865
AFRESH	6	16	0	9.54093	0.0312252	0.0444067
AFRITS	6	10	0	4.97417	0.0452275	0.0747054
AFRO	4	60	1	47.991	0.0329007	0.0370829
AFRONT	6	18	1	10.7752	0.075077	0.120057
AFROS	5	24	1	18.8708	0.0634405	0.0757496
AFT	3	139	57	110.222	0.4068	0.514151
AFTER	5	49	25	36.8554	0.4892	0.658983
AFTERS	6	25	10	17.8219	0.373684	0.537335
AGA	3	66	3	52.4751	0.0599729	0.0715345
AGAIN	5	22	0	13.5736	0.0293938	0.0372016
AGAR	4	42	0	31.0344	0.0241842	0.0261192
AGARS	5	20	0	14.1034	0.0318801	0.0359746
AGAS	4	42	1	32.2431	0.0455592	0.0537366
AGAST	5	20	0	14.4866	0.0318801	0.0351362
AGATE	5	27	0	19.5564	0.0245979	0.0268567
AGATES	6	17	0	10.213	0.029693	0.0419057
AGE	3	265	167	207.658	0.625116	0.799262
AGED	4	94	40	68.5713	0.41638	0.572657
AGEE	4	63	2	48.4388	0.0461974	0.0562667
AGEISM	6	10	0	5.06089	0.0452275	0.0737499
AGEIST	6	32	1	17.1162	0.0453687	0.0796392
AGEN	4	137	49	103.34	0.353577	0.469884
AGENE	5	33	3	22.2896	0.102438	0.14755
AGENES	6	23	2	13.5314	0.0987547	0.163931
AGENISE	7	18	0	8.03105	0.0244341	0.0549873
AGENT	5	63	20	40.8722	0.311409	0.480444
AGENTED	7	12	1	3.2683	0.0986087	0.313659
AGENTS	6	25	8	14.0552	0.303212	0.538856
AGER	4	148	74	108.875	0.491751	0.670416
AGERS	5	76	35	53.4579	0.448916	0.642008
AGES	4	152	88	114.832	0.5685	0.755468
AGHA	4	21	0	16.6603	0.0438816	0.0453892
AGILE	5	34	1	20.6432	0.0465881	0.0698094
AGILER	6	14	1	9.25247	0.092356	0.13672
AGIN	4	133	18	97.8992	0.138851	0.18749
AGING	5	17	5	10.0442	0.278705	0.464711
AGIO	4	57	0	42.419	0.0183127	0.0195466
AGISM	5	16	1	11.0711	0.0892757	0.121094
AGIST	5	48	2	30.7685	0.0533219	0.0787673
AGISTER	7	14	0	6.9179	0.0300325	0.0621648
AGITA	5	31	1	19.1864	0.0506223	0.0746193
AGITAS	6	13	1	5.22135	0.0979944	0.21613
AGLARE	6	10	0	5.67119	0.0452275	0.0676594
AGLEE	5	16	0	10.7818	0.0383715	0.0453534
AGLET	5	42	3	28.0962	0.0822394	0.119043
AGLETS	6	24	2	13.3494	0.0951478	0.165911
AGLUS	5	12	0	7.84965	0.0481822	0.0589118
AGLY	4	15	0	11.1559	0.0571901	0.0632623
