affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
BLA-	41	17	37600	0.414634	39	13	0.333333	0.77361	1	-5154.47
-WS	67	24	37400	0.358209	61	33	0.540984	0.0188522	0.196347	10564.4
WOR-	47	22	37400	0.468085	37	8	0.216216	0.991615	1	-17781.9
HY-	36	0	37000	0	42	0	0		1	0
SIN-	43	19	36800	0.44186	44	8	0.181818	0.995619	1	-17214.8
OW-	49	7	36600	0.142857	34	0	0	0.989365	1	-6285.71
-KY	48	6	36600	0.125	45	17	0.377778	0.00237481	0.0573232	10465
-GIE	40	15	35400	0.375	40	14	0.35	0.591954	1	-1420
-LI	44	12	35400	0.272727	45	9	0.2	0.790428	1	-3272.73
SY-	39	0	35400	0	34	1	0.0294118	0.140423	0.51544	1041.18
-UA	33	0	35400	0	33	0	0		1	0
-CA	45	1	35200	0.0222222	55	3	0.0545455	0.205934	0.635089	1163.64
-MIE	48	23	35000	0.479167	36	7	0.194444	0.996482	1	-19475
-II	42	0	34600	0	36	2	0.0555556	0.0608721	0.345214	1922.22
-BO	45	4	34600	0.0888889	34	4	0.117647	0.33742	0.826435	1087.06
-RL	47	4	34400	0.0851064	48	8	0.166667	0.115768	0.48679	3066.67
-PA	40	1	34200	0.025	38	0	0	0.836701	1	-890
-OE	46	8	34000	0.173913	44	6	0.136364	0.688398	1	-1539.53
-LT	54	13	32800	0.240741	49	10	0.204082	0.672258	1	-1583.67
-GY	53	12	32800	0.226415	56	9	0.160714	0.807656	1	-2864.56
-IRS	33	11	32400	0.333333	36	10	0.277778	0.691811	1	-2655.56
-OI	38	0	31600	0	32	0	0		1	0
-BA	39	1	30400	0.025641	32	1	0.03125	0.443489	0.916256	175
-EP	40	2	30400	0.05	36	4	0.111111	0.161951	0.549753	1955.56
-CO	37	0	30200	0	41	0	0		1	0
-NGS	45	26	29800	0.577778	48	23	0.479167	0.829414	1	-7435.28
YA-	37	0	29600	0	39	5	0.128205	0.0121181	0.155149	3794.87
-IF	34	0	29400	0	45	2	0.0444444	0.106541	0.466462	1306.67
-GN	30	1	29200	0.0333333	40	10	0.25	0.00685148	0.110341	6500
IC-	30	3	27600	0.1	33	5	0.151515	0.269828	0.733104	1576.36
-BE	39	7	26800	0.179487	35	8	0.228571	0.300004	0.777619	1590.33
-PE	63	31	26800	0.492063	60	30	0.5	0.46494	0.942144	423.81
-PY	39	10	24400	0.25641	30	4	0.133333	0.896206	1	-3987.69
-V	45	1	23200	0.0222222	43	5	0.116279	0.040076	0.291933	2219.74
-PT	32	4	22400	0.125	37	3	0.0810811	0.726602	1	-1124.32
OI-	33	15	22200	0.454545	34	13	0.382353	0.725408	1	-2815.51
-KE	40	16	21000	0.4	37	9	0.243243	0.928904	1	-5455.14
-CK	37	17	17200	0.459459	40	14	0.35	0.836091	1	-3371.35
