word	opportunities	found	missed	rate
OWING	49	12	37	0.2449
HIE	384	347	37	0.9036
TEED	81	44	37	0.5432
ANKER	51	14	37	0.2745
TEEL	182	145	37	0.7967
EELING	37	0	37	0
ROD	652	615	37	0.9433
STERN	134	97	37	0.7239
HART	203	166	37	0.8177
MANS	80	44	36	0.55
REENS	59	23	36	0.3898
HIRE	464	428	36	0.9224
RATED	164	128	36	0.7805
TELS	48	12	36	0.25
OASTS	61	25	36	0.4098
DINGS	103	67	36	0.6505
LEA	5554	5518	36	0.9935
PAT	2147	2111	36	0.9832
HON	1118	1082	36	0.9678
STIR	636	600	36	0.9434
UNDER	79	44	35	0.557
GIES	46	11	35	0.2391
TORES	96	61	35	0.6354
OOPED	35	0	35	0
ONO	57	22	35	0.386
KIS	86	51	35	0.593
OCHES	36	1	35	0.02778
RUE	192	157	35	0.8177
EATERS	151	117	34	0.7748
LIN	3524	3490	34	0.9904
RIMS	66	32	34	0.4848
OWN	218	184	34	0.844
EASTS	156	122	34	0.7821
TONED	157	123	34	0.7834
XED	34	0	34	0
OOF	34	0	34	0
RID	1000	966	34	0.966
ILK	34	0	34	0
PEAR	423	390	33	0.922
SAL	2396	2363	33	0.9862
PIT	500	467	33	0.934
LIP	267	234	33	0.8764
TALES	121	88	33	0.7273
OMERS	33	0	33	0
LAD	960	927	33	0.9656
TAG	208	175	33	0.8413
IRK	38	5	33	0.1316
EFS	33	0	33	0
AFT	265	233	32	0.8792
KETS	38	6	32	0.1579
COT	975	943	32	0.9672
MOS	915	883	32	0.965
EASES	183	151	32	0.8251
AGED	93	61	32	0.6559
NITE	981	949	32	0.9674
TERNS	89	57	32	0.6404
TOLE	368	336	32	0.913
ERSES	36	4	32	0.1111
TELA	69	37	32	0.5362
ENTERS	82	50	32	0.6098
TONS	44	13	31	0.2955
EASED	229	198	31	0.8646
INGLES	52	21	31	0.4038
ECO	33	2	31	0.06061
ERAS	58	27	31	0.4655
LIERS	52	21	31	0.4038
TANS	54	23	31	0.4259
RAIL	752	721	31	0.9588
RADS	69	38	31	0.5507
OVERS	64	33	31	0.5156
RIP	646	615	31	0.952
TEARS	183	152	31	0.8306
TAP	1119	1088	31	0.9723
CARE	1146	1115	31	0.9729
AIRED	200	169	31	0.845
RAPE	450	419	31	0.9311
EKE	47	16	31	0.3404
ITAS	31	0	31	0
TOP	763	733	30	0.9607
RIPS	45	15	30	0.3333
DON	1057	1027	30	0.9716
IMPS	33	3	30	0.09091
LINES	269	239	30	0.8885
LOR	843	813	30	0.9644
LITE	919	889	30	0.9674
HIP	131	101	30	0.771
ESES	30	0	30	0
UMES	30	0	30	0
SHY	47	17	30	0.3617
REM	829	799	30	0.9638
RAIS	673	643	30	0.9554
LAP	294	264	30	0.898
EHS	29	0	29	0
TIRED	96	67	29	0.6979
TONER	432	403	29	0.9329
RENS	52	23	29	0.4423
ETH	345	316	29	0.9159
OFT	105	76	29	0.7238
LAM	897	868	29	0.9677
NIDE	107	78	29	0.729
NARES	41	12	29	0.2927
LADE	501	472	29	0.9421
ANGA	42	13	29	0.3095
TILES	115	86	29	0.7478
OCKER	30	1	29	0.03333
UNI	56	27	29	0.4821
HAM	307	279	28	0.9088
TEAD	408	380	28	0.9314
LEAS	833	805	28	0.9664
HOP	279	251	28	0.8996
BLETS	28	0	28	0
HOTE	97	69	28	0.7113
STARE	586	558	28	0.9522
NAE	96	68	28	0.7083
RAG	756	728	28	0.963
OILED	125	97	28	0.776
RODS	53	25	28	0.4717
EMIT	177	149	28	0.8418
DAL	682	654	28	0.9589
EAVE	52	24	28	0.4615
ABLE	333	305	28	0.9159
POTS	65	38	27	0.5846
LEER	187	160	27	0.8556
HIES	56	29	27	0.5179
HOSE	426	399	27	0.9366
ARKS	76	49	27	0.6447
RITES	74	47	27	0.6351
TUN	802	775	27	0.9663
LOP	370	343	27	0.927
SATE	411	384	27	0.9343
TEERS	84	57	27	0.6786
CORE	450	423	27	0.94
DONS	36	9	27	0.25
HOD	120	93	27	0.775
ERK	33	6	27	0.1818
PET	446	419	27	0.9395
AVEL	37	11	26	0.2973
VIN	303	277	26	0.9142
ESSE	29	3	26	0.1034
LEET	118	92	26	0.7797
ESILES	26	0	26	0
LEAT	393	367	26	0.9338
AGERS	91	65	26	0.7143
ONNED	26	0	26	0
HERE	212	186	26	0.8774
INGO	36	10	26	0.2778
OFF	32	6	26	0.1875
TONES	219	193	26	0.8813
LEAR	1024	999	25	0.9756
VETS	34	9	25	0.2647
TEW	125	100	25	0.8
MINES	57	32	25	0.5614
DAN	750	725	25	0.9667
OUTER	256	231	25	0.9023
TETS	36	11	25	0.3056
PIS	362	337	25	0.9309
GING	171	146	25	0.8538
HAME	93	68	25	0.7312
ODAS	28	3	25	0.1071
RASE	714	689	25	0.965
DATE	899	875	24	0.9733
SELS	26	2	24	0.07692
VIES	37	13	24	0.3514
READ	347	323	24	0.9308
SINGS	62	38	24	0.6129
MENT	137	113	24	0.8248
OLLERS	24	0	24	0
TAIL	534	510	24	0.9551
LASE	783	759	24	0.9693
SINE	547	523	24	0.9561
CAN	2138	2114	24	0.9888
CAR	4967	4943	24	0.9952
TRINE	302	278	24	0.9205
HIED	32	8	24	0.25
SILE	553	529	24	0.9566
SIDE	458	434	24	0.9476
ARTY	24	0	24	0
TESTE	245	221	24	0.902
AMIN	275	251	24	0.9127
GENT	136	112	24	0.8235
SENT	544	520	24	0.9559
HAE	167	143	24	0.8563
ROSE	536	512	24	0.9552
CAD	447	423	24	0.9463
TILED	79	55	24	0.6962
NITS	36	13	23	0.3611
AMPS	64	41	23	0.6406
URNED	25	2	23	0.08
UMPS	23	0	23	0
CANS	42	19	23	0.4524
USHER	30	7	23	0.2333
DAS	202	179	23	0.8861
ZED	25	2	23	0.08
VIE	143	120	23	0.8392
RIA	208	185	23	0.8894
NATES	36	13	23	0.3611
SKED	23	0	23	0
PATTE	184	161	23	0.875
WAN	794	771	23	0.971
ASK	139	116	23	0.8345
OATERS	52	29	23	0.5577
RESIT	329	306	23	0.9301
HONE	508	485	23	0.9547
OLDS	55	32	23	0.5818
RIALS	36	13	23	0.3611
SAR	979	956	23	0.9765
IFS	24	1	23	0.04167
LIST	452	429	23	0.9491
OINT	33	11	22	0.3333
CATE	837	815	22	0.9737
NAIL	313	291	22	0.9297
TEND	324	302	22	0.9321
SAN	2851	2829	22	0.9923
EGOS	23	1	22	0.04348
TATS	57	35	22	0.614
MINO	39	17	22	0.4359
TIME	486	464	22	0.9547
RANTS	71	49	22	0.6901
HEAT	443	421	22	0.9503
STENS	25	3	22	0.12
SHE	1248	1226	22	0.9824
UKE	28	6	22	0.2143
TARTED	35	13	22	0.3714
HAIN	97	75	22	0.7732
PEAT	197	175	22	0.8883
LAST	551	529	22	0.9601
SPIK	21	0	21	0
CHI	694	673	21	0.9697
REATE	128	107	21	0.8359
RALE	267	246	21	0.9213
KIT	225	204	21	0.9067
ORC	69	48	21	0.6957
CON	1300	1279	21	0.9838
TELE	158	137	21	0.8671
SITES	50	29	21	0.58
VAS	183	162	21	0.8852
EMOS	22	1	21	0.04545
CHING	35	14	21	0.4
EVER	71	50	21	0.7042
BAST	378	357	21	0.9444
EVE	181	160	21	0.884
OWES	37	16	21	0.4324
CARS	284	263	21	0.9261
EACH	95	74	21	0.7789
WIN	824	803	21	0.9745
AWNS	52	31	21	0.5962
PATE	854	833	21	0.9754
METS	34	13	21	0.3824
ARTIES	37	16	21	0.4324
HID	398	377	21	0.9472
ANTING	34	13	21	0.3824
RISES	47	26	21	0.5532
ENDED	43	22	21	0.5116
RAND	236	215	21	0.911
HARTS	33	12	21	0.3636
URDS	22	2	20	0.09091
HANT	161	141	20	0.8758
TOT	933	913	20	0.9786
EARNS	71	51	20	0.7183
GAE	78	58	20	0.7436
EATING	93	73	20	0.7849
EFTS	33	13	20	0.3939
LAMS	27	7	20	0.2593
HAP	113	93	20	0.823
MART	199	179	20	0.8995
KINGS	28	8	20	0.2857
TEAM	337	317	20	0.9407
ALTERS	96	76	20	0.7917
RUES	34	14	20	0.4118
AUNTS	42	22	20	0.5238
TEALS	87	67	20	0.7701
BRA	1009	989	20	0.9802
DIT	1029	1009	20	0.9806
RAY	250	230	20	0.92
TIL	2161	2141	20	0.9907
EVES	33	13	20	0.3939
SON	1099	1079	20	0.9818
WELS	22	2	20	0.09091
HEAL	224	204	20	0.9107
CIT	1223	1203	20	0.9836
SITED	55	35	20	0.6364
TIC	634	614	20	0.9685
TERES	61	41	20	0.6721
EMOTE	43	23	20	0.5349
TARTS	61	41	20	0.6721
ACKERS	20	0	20	0
RENT	948	929	19	0.98
SINED	47	28	19	0.5957
RAW	280	261	19	0.9321
ONOS	21	2	19	0.09524
RAINE	316	297	19	0.9399
