word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
CANST	5	800	196	3	196	4	0.0178571	0.0153061	73	0	0	29	0.103448	52	0.0192308	False	True	0.863014	0	0.0136986	0.123288	0.790816	0	0.0102041	0.19898	CANS	CAN	CANTS	0.637422	12.9932	0.585021	9.88835	free	CAN
SILEN	5	800	394	7	394	19	0.0329949	0.0177665	143	1	0.00699301	65	0.0923077	107	0.0934579	False	True	0.440559	0	0.104895	0.454545	0.444162	0	0.147208	0.408629	SILE		LINES	0.331125	12.9427	0.33386	11.0286	free	SILE
SERINES	7	1800	105	1	105	9	0.047619	0.00952381	34	0	0	29	0.103448	29	0.206897	False	True	0.852941	0	0	0.147059	0.790476	0	0	0.209524	RINES	RINES		0.604683	12.9168	0.561002	11.5375	free	RINES
OREAD	5	800	321	0	321	2	0.00311526	0	111	0	0	55	0	89	0.011236	False	True	0.558559	0	0.036036	0.405405	0.492212	0	0.0311526	0.476636	READ			0.416556	12.911	0.368397	10.472	free	READ
SNITS	5	800	439	34	439	31	0.0740319	0.0774487	146	12	0.0821918	90	0.0444444	97	0.0515464	False	True	0.534247	0	0	0.465753	0.501139	0	0	0.498861	NITS			0.398811	12.9079	0.374786	11.5591	free	NITS
MEREST	6	1400	122	2	122	15	0.0696721	0.0163934	43	1	0.0232558	28	0.214286	28	0.321429	False	True	0.860465	0	0	0.139535	0.827869	0	0.00819672	0.163934	MERES	RES		0.636896	12.8939	0.6133	11.2853	free	RES
AREAD	5	800	287	0	287	5	0.0087108	0	92	0	0	57	0.0175439	67	0.0597015	False	True	0.673913	0	0	0.326087	0.630662	0	0	0.369338	READ			0.500161	12.8488	0.468775	11.914	free	READ
ARTEL	5	800	456	2	456	23	0.0274123	0.00438596	122	0	0	88	0.0909091	107	0.0841121	False	True	0.491803	0.0245902	0.180328	0.303279	0.429825	0.0219298	0.188596	0.359649	ART		LATER	0.376749	12.8345	0.330908	13.1852	free	ART
REDAN	5	800	370	42	370	16	0.0783784	0.113514	136	21	0.154412	54	0.0555556	94	0.0744681	False	True	0.661765	0	0.0220588	0.316176	0.697297	0	0.0162162	0.286486	RED	DAN		0.491408	12.7976	0.517176	13.226	free	DAN
TANIST	6	1400	177	0	177	0	0	0	56	0	0	29	0	52	0	False	False	0.625	0	0	0.375	0.689266	0	0.0169492	0.293785	TAN	TAN		0.466635	12.7693	0.51305	14.0728	free	TAN
