word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
SELAH	5	88	0	67.476	800	5	0.00822521	0.00832183	24	4	0.166667	1.07659e-07	5.24838e-05	11733.3	SEL	branch miss	topQuartile
OCHER	5	36	0	26.9386	800	5	0.0190138	0.0199958	5	2	0.4	1.03144e-08	8.17096e-06	11520	CHER	branch miss	topQuartile
SNIRTS	6	48	0	27.9697	1400	6	0.0117778	0.016842	6	1	0.166667	0.000158234	0.0153585	11200		true gap	topQuartile
DEARTH	6	28	0	18.7201	1400	6	0.0192843	0.0244638	7	2	0.285714	8.09869e-05	0.00916526	11200	EARTH	branch miss	topQuartile
TENIAS	6	91	0	51.25	1400	6	0.00641176	0.00943979	23	2	0.0869565	0.000253935	0.0228271	11078.3	TEN	branch miss	topQuartile
EDITOR	6	55	0	32.1351	1400	6	0.0103656	0.0147698	14	2	0.142857	0.000207935	0.0192377	11000	EDIT	branch miss	topQuartile
DEAIRS	6	55	0	34.3161	1400	6	0.0103656	0.0138758	14	2	0.142857	0.000207935	0.0192377	11000	AIRS	branch miss	topQuartile
RHINE	5	72	0	51.1963	800	5	0.00996496	0.0108706	21	4	0.190476	2.46907e-07	9.77983e-05	10971.4	HIN	branch miss	topQuartile
TAEING	6	39	0	24.7882	1400	6	0.014279	0.0188634	5	1	0.2	0.000166153	0.0159545	10920	TAE	branch miss	topQuartile
MUNITE	6	13	0	7.73488	1400	6	0.0369441	0.0528901	5	3	0.6	6.71089e-06	0.00135017	10920	UNITE	branch miss	topQuartile
MEASLE	6	13	0	8.32679	1400	6	0.0369441	0.0497737	5	3	0.6	6.71089e-06	0.00135017	10920	EASLE	branch miss	topQuartile
CADRE	5	59	0	41.8367	800	5	0.0120329	0.0131937	13	3	0.230769	1.89384e-07	8.57299e-05	10892.3	CAD	branch miss	topQuartile
INMATE	6	27	0	15.1249	1400	6	0.0199191	0.0296853	7	2	0.285714	0.000113382	0.0117796	10800	MATE	branch miss	topQuartile
LEARNT	6	34	0	18.9104	1400	6	0.0161889	0.024238	9	2	0.222222	0.000194575	0.0182685	10577.8	LEARN	branch miss	topQuartile
SUITED	6	15	0	11.509	1400	6	0.032924	0.0377998	6	3	0.5	3.05176e-05	0.00392628	10500	SUITE	branch miss	topQuartile
STEDES	6	26	0	16.5316	1400	6	0.0205971	0.0273972	7	2	0.285714	0.000158734	0.0153585	10400	STED	branch miss	topQuartile
SERAL	5	212	0	150.737	800	5	0.00349555	0.00378416	49	3	0.0612245	1.52437e-06	0.000425676	10383.7	SERA	branch miss	topQuartile
BATON	5	30	0	19.6075	800	5	0.0224046	0.026793	7	3	0.428571	5.11515e-08	2.99124e-05	10285.7	BAT	branch miss	topQuartile
RONDEL	6	22	0	13.2749	1400	6	0.0238433	0.033348	6	2	0.333333	0.000133657	0.0133394	10266.7	RONDE	branch miss	topQuartile
TENON	5	62	0	41.732	800	5	0.011483	0.0132253	15	3	0.2	9.80797e-07	0.00030321	9920	TEN	branch miss	topQuartile
ARTEL	5	122	0	81.0214	800	5	0.00599943	0.0069634	20	2	0.1	2.61569e-06	0.000663077	9760	ART	branch miss	topQuartile
BATONS	6	17	0	9.62445	1400	6	0.029693	0.0440798	5	2	0.4	0.000169267	0.0161312	9520	TONS	branch miss	topQuartile
SETAL	5	240	0	172.504	800	5	0.00309384	0.00331201	61	3	0.0491803	5.54062e-06	0.00119029	9442.62	SETA	branch miss	topQuartile
RHONE	5	59	0	40.2263	800	5	0.0120329	0.0136974	15	3	0.2	1.91562e-06	0.000498187	9440	HONE	branch miss	topQuartile
LAITH	5	51	0	33.7966	800	5	0.0137945	0.0161605	13	3	0.230769	1.54486e-06	0.000425676	9415.38	AIT	branch miss	topQuartile
REOILS	6	30	0	16.609	1400	6	0.0181289	0.0272816	9	2	0.222222	0.000531699	0.0416005	9333.33	OILS	branch miss	topQuartile
TUSSER	6	20	0	13.4242	1400	6	0.0258829	0.0330191	6	2	0.333333	0.000300729	0.0259302	9333.33	SER	branch miss	topQuartile
ETNA	4	382	0	280.001	400	4	0.0029252	0.00312676	100	6	0.06	5.4305e-11	8.60395e-08	9168		true gap	topQuartile
LIGERS	6	13	0	8.24072	1400	6	0.0369441	0.0502038	6	3	0.5	0.00012207	0.0124778	9100	GERS	branch miss	topQuartile
ITHER	5	104	0	72.3643	800	5	0.00700264	0.0077745	28	3	0.107143	7.60897e-06	0.00150693	8914.29	THE	branch miss	topQuartile
RELICS	6	22	0	13.1317	1400	6	0.0238433	0.0336695	7	2	0.285714	0.000609794	0.047418	8800		true gap	topQuartile
SONSE	5	99	0	73.4709	800	5	0.00734375	0.00766044	27	3	0.111111	8.6278e-06	0.00162244	8800	SONS	branch miss	topQuartile
LYRES	5	22	0	16.7897	800	5	0.0293938	0.0308199	6	3	0.5	2.38419e-07	9.74824e-05	8800	RES	branch miss	topQuartile
TUTOR	5	28	0	19.45	800	5	0.0238206	0.0269903	8	3	0.375	1.92593e-06	0.000498187	8400	TUT	branch miss	topQuartile
IDLES	5	84	0	62.1896	800	5	0.0086006	0.00900763	16	2	0.125	1.34486e-05	0.00226828	8400		true gap	topQuartile
IDENT	5	109	0	75.0159	800	5	0.00669181	0.00750668	21	2	0.0952381	1.82911e-05	0.00279325	8304.76	DENT	branch miss	topQuartile
BLART	5	31	0	20.2278	800	5	0.0217579	0.026044	6	2	0.333333	3.47673e-06	0.000831463	8266.67	LAR	branch miss	topQuartile
CORIA	5	67	0	41.2172	800	5	0.0106703	0.013383	13	2	0.153846	1.37754e-05	0.00226828	8246.15	COR	branch miss	topQuartile
TETRA	5	110	0	71.5645	800	5	0.00663292	0.00785907	22	2	0.0909091	2.79772e-05	0.00382018	8000	TET	branch miss	topQuartile
OLEIN	5	70	0	45.5394	800	5	0.0102356	0.0121652	7	1	0.142857	2.05932e-05	0.00303511	8000	OLE	branch miss	topQuartile
MERER	5	39	0	27.243	800	5	0.0176762	0.0197874	8	2	0.25	1.34088e-05	0.00226828	7800	MERE	branch miss	topQuartile
ARIEL	5	107	0	71.749	800	5	0.00681277	0.00783939	22	2	0.0909091	3.72377e-05	0.00467315	7781.82	RIEL	branch miss	topQuartile
ERECT	5	68	0	48.1557	800	5	0.0105213	0.0115301	14	2	0.142857	2.80297e-05	0.00382018	7771.43	ERE	branch miss	topQuartile
DRAIL	5	57	0	37.3807	800	5	0.0124297	0.0146882	12	2	0.166667	3.06668e-05	0.00392628	7600	RAIL	branch miss	topQuartile
IDEAL	5	99	0	65.3947	800	5	0.00734375	0.00857899	21	2	0.0952381	4.97618e-05	0.00612066	7542.86	DEAL	branch miss	topQuartile
DOEST	5	89	0	68.0471	800	5	0.00813643	0.00825394	19	2	0.105263	5.02208e-05	0.00612066	7494.74	DOES	branch miss	topQuartile
VEINS	5	28	0	18.1314	800	5	0.0238206	0.0287617	6	2	0.333333	1.1734e-05	0.00212469	7466.67	INS	branch miss	topQuartile
LITHO	5	37	0	23.8955	800	5	0.018546	0.0223494	8	2	0.25	2.38378e-05	0.00339488	7400	LITH	branch miss	topQuartile
FLOTE	5	23	0	16.2043	800	5	0.0282907	0.0318134	5	2	0.4	7.8973e-06	0.00151664	7360	LOTE	branch miss	topQuartile
SERIF	5	73	0	52.9366	800	5	0.00983495	0.0105259	24	3	0.125	5.84235e-05	0.00692073	7300	SER	branch miss	topQuartile
SPREE	5	27	0	19.0816	800	5	0.0245979	0.0274628	9	3	0.333333	1.76009e-05	0.00275422	7200	PREE	branch miss	topQuartile
LIANE	5	125	0	80.0156	800	5	0.00585952	0.00704884	28	2	0.0714286	9.48232e-05	0.0103611	7142.86	ANE	branch miss	topQuartile
LAREE	5	70	0	47.3298	800	5	0.0102356	0.0117233	8	1	0.125	8.72095e-05	0.00978213	7000	LARE	branch miss	topQuartile
ESNE	4	307	0	233.768	400	4	0.00362887	0.00373777	88	5	0.0568182	1.58779e-08	1.18384e-05	6977.27		true gap	topQuartile
DROIL	5	30	0	20.1669	800	5	0.0224046	0.0261157	7	2	0.285714	4.13199e-05	0.0051346	6857.14	ROIL	branch miss	topQuartile
AIRTH	5	72	0	48.5746	800	5	0.00996496	0.0114345	17	2	0.117647	0.000121969	0.0124778	6776.47	AIRT	branch miss	topQuartile
AREAL	5	104	0	71.1023	800	5	0.00700264	0.00790878	26	2	0.0769231	0.000242516	0.0219564	6400	AREA	branch miss	topQuartile
STYLE	5	24	0	16.7268	800	5	0.0272673	0.0309238	6	2	0.333333	5.94032e-05	0.00697162	6400	STY	branch miss	topQuartile
ETNAS	5	172	0	115.312	800	5	0.0042916	0.00492728	43	2	0.0465116	0.000276853	0.0243688	6400	NAS	branch miss	topQuartile
SAULT	5	29	0	21.1002	800	5	0.0230909	0.0250587	11	3	0.272727	9.75488e-05	0.0105234	6327.27	SAUL	branch miss	topQuartile
ORANT	5	125	0	80.0151	800	5	0.00585952	0.00704889	32	2	0.0625	0.000313624	0.0265012	6250	RANT	branch miss	topQuartile
EARNT	5	117	0	78.8987	800	5	0.00624807	0.00714621	30	2	0.0666667	0.000312107	0.0265012	6240	EARN	branch miss	topQuartile
IOTAS	5	113	0	76.839	800	5	0.00646233	0.00733301	29	2	0.0689655	0.000311266	0.0265012	6234.48	TAS	branch miss	topQuartile
DEAWS	5	23	0	18.2533	800	5	0.0282907	0.0285883	6	2	0.333333	8.91048e-05	0.00990705	6133.33		true gap	topQuartile
TRONC	5	42	0	29.0275	800	5	0.0165144	0.0186478	11	2	0.181818	0.000218621	0.0199354	6109.09	TRON	branch miss	topQuartile
REOIL	5	83	0	57.3921	800	5	0.00869986	0.00973575	22	2	0.0909091	0.000366781	0.030188	6036.36	REO	branch miss	topQuartile
THORN	5	45	0	31.1518	800	5	0.015496	0.0174514	12	2	0.166667	0.000273429	0.0242357	6000	HORN	branch miss	topQuartile
GLUER	5	15	0	9.49636	800	5	0.0404295	0.050443	6	3	0.5	3.05176e-05	0.00392628	6000		true gap	topQuartile
RHINO	5	56	0	37.5146	800	5	0.0126381	0.0146384	15	2	0.133333	0.000330916	0.0275944	5973.33	HIN	branch miss	topQuartile
IOTA	4	257	0	192.626	400	4	0.00432197	0.00452457	69	4	0.057971	2.16031e-07	9.12732e-05	5959.42		true gap	topQuartile
NASTY	5	37	0	24.9384	800	5	0.018546	0.0214828	5	1	0.2	0.000259615	0.0231734	5920	NAS	branch miss	topQuartile
PROLE	5	27	0	19.5021	800	5	0.0245979	0.0269247	11	3	0.272727	0.000184428	0.017445	5890.91	ROLE	branch miss	topQuartile
SALPS	5	22	0	15.1445	800	5	0.0293938	0.0337847	6	2	0.333333	0.000133657	0.0133394	5866.67	SAL	branch miss	topQuartile
GIRON	5	36	0	22.162	800	5	0.0190138	0.0239556	5	1	0.2	0.000324519	0.0272402	5760	IRON	branch miss	topQuartile
ROWT	4	48	0	37.6463	400	4	0.0214351	0.0218518	17	5	0.294118	5.48468e-08	3.02254e-05	5647.06	ROW	branch miss	topQuartile
