word	len	trials	finds	vowelInitial	removedByFlux	commonEnglish	comparable	compP10	compMedian	pZeroAtP10	pZeroAtMedian	compP10SameInitial	compMedianSameInitial	pZeroAtP10SameInitial	pZeroAtMedianSameInitial	qAtMedian	qAtMedianSameInitial	qAtP10SameInitial
RHUS	4	182	0	False	False	False	895	0.0162	0.1429	0.05118	6.542e-13	0.02198	0.1558	0.01752	4.064e-14	2.879e-12	3.197e-13	0.2853
RIALTO	6	164	0	False	False	False	1261	0.009804	0.1209	0.1987	6.668e-10	0.01333	0.1532	0.1107	1.433e-12	1.847e-09	8.551e-12	0.4083
RIGOL	5	104	0	False	False	True	1586	0.0122	0.09574	0.2791	2.846e-05	0.01351	0.1053	0.2429	9.469e-06	2.869e-05	1.61e-05	0.4083
RISTRA	6	262	0	False	False	False	803	0.007599	0.1154	0.1355	1.121e-14	0.01187	0.1425	0.04379	3.168e-18	6.97e-14	4.714e-17	0.4083
RISUS	5	108	0	False	False	False	1640	0.0119	0.09658	0.2743	1.721e-05	0.01316	0.1066	0.2392	5.19e-06	1.792e-05	9.101e-06	0.4083
RITARD	6	116	0	False	False	False	1606	0.01136	0.1078	0.2656	1.801e-06	0.0122	0.1359	0.2409	4.385e-08	2.478e-06	1.189e-07	0.4083
ROLAG	5	114	0	False	False	False	1638	0.01163	0.1	0.2636	6.076e-06	0.01351	0.1111	0.212	1.474e-06	6.838e-06	2.736e-06	0.4083
RORAL	5	222	0	False	False	True	1451	0.009434	0.1085	0.1219	8.471e-12	0.01231	0.1376	0.06401	5.351e-15	3.289e-11	4.487e-14	0.4083
RORID	5	132	0	False	False	False	1559	0.009804	0.1032	0.2724	5.721e-07	0.01299	0.1157	0.1781	8.985e-08	8.615e-07	2.171e-07	0.4083
ROSACE	6	114	0	False	False	False	1652	0.01163	0.1068	0.2636	2.572e-06	0.0125	0.1359	0.2384	5.873e-08	3.313e-06	1.536e-07	0.4083
ROSTRA	6	256	0	False	False	True	823	0.007485	0.1188	0.1461	8.661e-15	0.01124	0.1431	0.05541	6.749e-18	5.539e-14	9.23e-17	0.4083
ROYST	5	114	0	False	False	False	1638	0.01163	0.1	0.2636	6.076e-06	0.01351	0.1111	0.212	1.474e-06	6.838e-06	2.736e-06	0.4083
RUEDA	5	196	0	False	False	False	1478	0.009434	0.1094	0.156	1.383e-10	0.0125	0.1322	0.08497	8.547e-13	4.638e-10	5.428e-12	0.4083
RYND	4	142	0	False	False	True	798	0.01617	0.1348	0.0987	1.167e-09	0.01941	0.1476	0.06187	1.416e-10	3.134e-09	6.202e-10	0.4083
SACRA	5	262	0	False	False	True	1386	0.00957	0.1147	0.08052	1.373e-14	0.0125	0.15	0.03704	3.219e-19	8.25e-14	5.021e-18	0.4083
