gid	dOpen	margin	dN
5964	0.133333	2800	-2
5965	-0.6	-6600	-16
5966	-0.466667	1100	-3
5968	-0.133333	-2500	-1
5981	-0.266667	2300	-9
5982	0.0666667	-3400	-2
5983	-0.866667	10200	8
6026	-0.4	-7900	-7
6027	-0.133333	1100	3
6029	-0.6	4000	7
6030	-0.866667	-16700	-3
6083	-0.866667	-2300	-13
6330	-0.333333	1900	-1
6334	-0.6	-9900	-18
6336	-0.466667	-3800	-13
6337	-0.133333	5200	-13
6338	0.0666667	-5800	3
6341	0.2	-10300	0
6381	-0.533333	400	3
6382	0.0666667	10800	0
6468	-0.333333	-3200	-11
6469	-0.533333	-10300	-16
6470	-0.0666667	-10900	-19
6471	-0.933333	-14300	-17
6472	-0.6	3000	-11
6475	-0.133333	-11800	-22
6476	-0.733333	-11200	-27
6478	-0.266667	-13300	-27
6520	0.0666667	-600	-2
6523	-1	-12700	-6
6524	0	-9200	-25
6525	-0.333333	7600	5
6527	0.266667	5500	0
6529	-0.4	-17000	-22
6530	-0.333333	-27700	-25
6531	0.2	-5200	-10
6533	-0.533333	-7100	2
6534	-0.466667	-4500	-13
6708	-0.533333	-3100	-13
6709	-0.133333	-2300	-12
6710	-1.06667	-3900	-13
6712	-1.26667	-16900	-11
6717	-0.133333	-5900	-9
6718	-0.133333	-4100	-4
6721	0.0666667	1100	7
6722	-0.533333	-24300	-11
6723	-0.733333	-11300	-2
6741	0.4	3500	-17
6747	0.133333	-7000	-28
6748	0.266667	-3700	-13
6752	-0.6	-16400	-9
6754	0.0666667	-10200	11
6756	-0.2	-5700	-4
6762	-0.133333	200	-9
6766	0.6	8300	-18
6773	-0.333333	-100	-5
6775	-1.06667	2000	-1
6778	-0.2	8400	-6
6780	0	-5700	2
6781	-0.2	-12300	-27
6782	0.0666667	6800	11
6783	0.533333	-1600	-16
6784	-0.8	1100	10
6785	-0.4	2600	6
6786	0.666667	-6800	-12
6787	0.133333	-7600	-15
6788	0.333333	2800	-6
6789	-0.266667	-2700	-3
6790	-0.133333	-4400	-12
6791	-0.466667	-2600	12
6904	-0.0666667	400	-27
6905	-0.4	-6500	-9
6907	0.0666667	-600	-11
6908	0.266667	700	-18
6909	-0.266667	-4000	-17
6911	-1.4	-8400	-12
6913	-0.933333	-4100	-4
6924	-0.466667	600	-2
6930	-0.8	4600	-7
6932	-0.266667	7300	10
6935	-0.333333	-14200	-13
6940	-0.266667	1800	-3
6941	-0.533333	-14900	-2
6942	-0.266667	-8500	-24
6946	-0.6	1200	0
6947	-0.333333	-6200	-10
6948	-0.4	5200	-9
6951	-0.133333	2600	-21
6966	0	3000	1
6967	-0.266667	7200	8
6968	-0.333333	-8200	-5
6969	-0.466667	-900	-6
6971	-0.2	-700	-7
7066	-0.266667	-4000	-18
7067	-0.466667	16700	8
7068	-0.666667	5400	2
7069	0	-500	-10
7070	-0.666667	11300	-6
7072	-0.2	-4600	-9
7073	-0.4	-12400	-19
7074	-0.933333	-2200	-11
7075	-0.0666667	-20300	-28
7100	-0.133333	-4300	-9
7212	-0.2	-16700	-30
7223	0.0666667	-500	-6
7224	-0.333333	-7900	-22
7225	-0.533333	-1300	8
7228	-0.133333	-400	-4
7230	-0.466667	-8500	-11
7231	0.333333	100	-2
7232	-0.0666667	2300	-14
7237	0	12100	-6
7238	-1.2	-6300	3
7239	-0.6	-1800	-17
7268	-0.2	-6300	-6
7270	-0.666667	3200	0
7271	-0.933333	-11700	-13
7272	-0.466667	2900	-10
7273	-0.6	8300	0
7274	0.266667	-18100	-19
7275	-0.2	-8300	-21
7285	-0.333333	-100	-5
7295	-0.4	-12900	-14
7308	-0.266667	-600	1
7366	-0.466667	8000	14
7367	-0.8	8200	2
7368	0.266667	5800	-13
7369	0.0666667	500	-18
7371	-0.266667	-2600	-7
7435	-0.266667	1200	-23
7437	0.2	-2200	-14
7492	-0.733333	1800	11
7494	0.466667	14200	-3
7588	-1.33333	-12200	-10
7589	-0.266667	-6400	-14
7591	-0.866667	-1100	-2
7594	-0.466667	-200	-9
7596	-0.2	-400	-9
7598	-0.866667	-7100	8
7599	-0.2	-2900	-18
7601	-0.2	-10000	-9
7770	-1	200	-3
7812	-0.466667	-1700	-7
7815	-0.2	700	-21
7816	-0.0666667	2200	-2
7817	0.8	11400	7
7818	0.2	-9400	-7
7820	-0.333333	-600	-10
7821	0.8	-8100	-21
7822	-0.666667	-3200	-10
7823	-0.666667	1200	1
7824	-0.4	4600	4
7825	-0.0666667	1600	0
7826	-0.533333	-8100	-8
7827	-1.13333	-2500	-9
7828	-0.133333	6700	10
7829	-0.6	-15000	-25
7830	-0.466667	-5200	0
7831	-0.733333	-8300	-13
7832	-0.733333	6600	-2
7833	-0.133333	14100	-3
7842	-0.133333	15100	25
7843	-0.533333	-10300	-18
7909	0.133333	-8200	4
7912	0.0666667	3200	-1
7913	-0.0666667	17600	-2
7914	-0.533333	1800	6
7956	-0.333333	-3900	-9
7957	0.4	1200	-7
7959	-0.4	18200	31
7960	0	-2000	-10
7961	0.0666667	3500	-3
7963	-0.533333	-100	5
7964	-0.533333	-4100	-1
7965	0.266667	5900	-7
7966	-0.266667	-6400	-23
7967	-0.133333	-7700	-25
7970	-0.666667	-6600	-5
7971	0.133333	2700	-3
7972	-0.8	-14400	-13
7975	-0.733333	-2400	-16
7991	-0.6	-18700	-18
7992	0.333333	-1900	-9
8005	-1	-20400	-8
8006	0.333333	-1200	-1
8007	-0.866667	-4700	-4
8015	-1.13333	1000	13
8016	-0.266667	11400	2
8017	-0.0666667	8500	14
8018	-0.6	-3400	1
8019	-0.133333	700	0
8020	0.533333	10600	10
8021	-0.266667	7300	-1
8022	-0.466667	-16800	-24
8023	-0.266667	-16700	-15
8024	-0.4	4300	11
8025	0.266667	-6500	-4
8026	-0.133333	4700	-11
8027	-0.266667	-7900	-1
8028	-0.733333	11300	20
8029	0.2	8800	16
8030	-0.266667	5400	18
8031	-0.6	-7400	-5
8032	0.333333	10800	7
8033	0.0666667	-500	-17
8034	-0.266667	16200	19
8035	-0.333333	4400	3
8036	-1.4	-8000	13
8037	-0.133333	12600	13
8038	-0.333333	2500	-2
8039	-0.6	-13000	-22
8040	-0.933333	2300	0
8041	0.133333	2800	17
8043	-0.0666667	-600	-4
