word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
INSTATE	7	1800	67	14	0.029851	0.014925	0	0.1	0.071429	free	0.92857	0	0	STATE		STATE	STATE	0.65757	5.7839	7.9918	False	True
TARTANE	7	1800	57	14	0.017544	0.017544	0	0	0	free	0.92857	0	0	TAR		TART	TAR	0.65757	5.7839	7.1395	False	True
SASER	5	800	381	119	0.015748	0.015748	0.0084034	0	0.019231	free	0.23529	0	0.20168		SEARS	SER	SER	0.18245	5.7833	4.5579	False	True
BURETS	6	1400	51	18	0.0098039	0	0	0.2	0	free	0.88889	0	0	BUR	BUSTER	BUR	BUR	0.65745	5.7828	5.2708	False	True
RASURE	6	1400	56	18	0	0	0	0	0	free	0.88889	0	0	RAS		SURE	RAS	0.65745	5.7828	5.3943	True	False
TALLIS	6	1400	73	18	0.027397	0.027397	0	0	0.04	free	0.88889	0	0	TALL		TALL	TALL	0.65745	5.7828	7.1401	False	True
STATIC	6	1400	57	18	0	0	0	0	0	free	0.88889	0	0	STAT		STAT	STAT	0.65745	5.7828	6.293	False	False
MANEH	5	800	105	35	0	0	0	0	0	free	0.8	0	0	MANE		MANE	MANE	0.59166	5.7823	5.4371	False	False
PITAS	5	800	174	52	0.08046	0.086207	0.11538	0.0625	0.071429	free	0.69231	0	0	PIT		PIT	PIT	0.51351	5.7808	7.133	False	True
ALLEE	5	800	83	34	0	0	0	0	0	free	0.82353	0	0	LEE		LEE	LEE	0.60873	5.7792	4.1945	False	False
PRATIES	7	1800	62	13	0.064516	0.080645	0	0.083333	0.0625	free	1	0	0	RAT		RAT	RAT	0.70752	5.7787	7.6047	False	True
LIONET	6	1400	100	36	0.015	0.01	0.027778	0.052632	0.060606	free	0.47222	0	0			LION	LION	0.35616	5.7768	4.3311	False	True
SLAID	5	800	161	56	0.040373	0.037267	0.017857	0.1	0.018868	free	0.51786	0	0.125			LAID	LAID	0.38727	5.7766	4.7725	False	True
CODEIN	6	1400	51	17	0.029412	0.019608	0	0	0	free	0.94118	0	0	CODE		CODE	CODE	0.69526	5.7756	4.6676	False	True
STATAL	6	1400	52	17	0	0	0	0	0	free	0.94118	0	0	STAT		STAT	STAT	0.69526	5.7756	5.1611	True	False
PETARA	6	1400	62	17	0	0	0	0	0	free	0.94118	0	0	TAR		TAR	TAR	0.69526	5.7756	5.9682	True	False
ORATOR	6	1400	61	17	0.016393	0	0	0	0	free	0.94118	0	0	RAT		RAT	RAT	0.69526	5.7756	6.1901	False	True
PRIEST	6	1400	115	36	0.052174	0.0086957	0.027778	0.16	0.11111	free	0.47222	0	0.027778			PRIES	PRIES	0.35607	5.7753	4.9241	False	True
MOTEL	5	800	111	40	0.099099	0.09009	0.075	0.10526	0.25926	free	0.8	0	0	MOTE		MOTE	MOTE	0.59166	5.7707	4.7505	False	True
PASEAR	6	1400	52	16	0	0	0	0	0	free	1	0	0	PAS		PASE	PAS	0.73779	5.7684	5.6093	True	False
SARAPE	6	1400	57	16	0.0087719	0	0	0	0	free	1	0	0	RAPE		RAPE	RAPE	0.73779	5.7684	5.3966	False	True
FRISE	5	800	119	52	0.05042	0.0084034	0.019231	0.27778	0.13793	free	0.55769	0	0.13462		FIRES	RISE	RISE	0.41621	5.7641	4.1447	False	True
TENNO	5	800	173	52	0.040462	0.023121	0.019231	0.076923	0.14894	free	0.55769	0	0.11538		TONNE	TEN	TEN	0.41615	5.7633	5.7991	False	True
SADIS	5	800	131	58	0.072519	0.061069	0.068966	0.11111	0.097561	free	0.56897	0	0.068966			SAD	SAD	0.4242	5.7532	4.6275	False	True
AGEIST	6	1400	81	32	0.024691	0.012346	0.03125	0.076923	0.083333	free	0.53125	0	0	AGE		AGE	AGE	0.39885	5.7481	4.3998	False	True
TORUS	5	800	138	55	0.061594	0.07971	0.072727	0	0.029412	free	0.6	0	0.16364	TOR	ROUTS,TOURS	TOR	TOR	0.44699	5.7479	5.1437	False	True
ESTOC	5	800	256	81	0	0	0	0	0	cellmate	0.33333	0	0.37037		COSTE	TOC	TOC	0.25407	5.7465	5.5441	True	False
SIGNET	6	1400	96	39	0.067708	0.072917	0.10256	0.23077	0.086957	free	0.53846	0	0.051282		TINGES	SIG	SIG	0.4039	5.7426	3.6138	False	True
DIENES	6	1400	116	31	0.012931	0.017241	0.032258	0	0	free	0.54839	0	0			DIE	DIE	0.41124	5.7409	7.2376	False	True
ROASTIE	7	1800	77	30	0.097403	0.1039	0.1	0.083333	0.125	free	0.56667	0	0	TIE		ROAST	TIE	0.40449	5.7392	5.7759	False	True
AETHER	6	1400	112	31	0.03125	0.0089286	0.032258	0.19048	0.12903	free	0.54839	0	0.096774		HEATER	ETHER	ETHER	0.41093	5.7362	6.8182	False	True
ARTICS	6	1400	80	30	0.01875	0.0125	0.033333	0	0	free	0.56667	0	0			TIC	TIC	0.42445	5.7337	4.6217	False	True
IRISED	6	1400	86	29	0.005814	0.011628	0.034483	0	0	free	0.58621	0	0			RISE	RISE	0.43858	5.7265	4.5233	False	True
SEDANS	6	1400	88	28	0.022727	0.034091	0.035714	0	0.038462	free	0.60714	0	0	DAN		DANS	DAN	0.45372	5.7193	5.6746	False	True
BESOT	5	800	110	39	0.022727	0.027273	0.025641	0	0.025	free	0.74359	0	0.025641			BES	BES	0.5508	5.719	4.471	False	True
AGRIN	5	800	135	39	0.018519	0.014815	0.025641	0	0.041667	free	0.74359	0	0.025641	RIN		RIN	RIN	0.5508	5.719	7.2179	False	True
WRATE	5	800	138	39	0.072464	0.10145	0.025641	0	0.02381	free	0.74359	0	0.025641	RATE	WATER	RATE	RATE	0.5508	5.719	5.8386	False	True
STAIG	5	800	153	48	0.013072	0.019608	0	0.055556	0	free	0.5625	0.020833	0.020833	TAI		TAI	TAI	0.42634	5.7143	6.3069	False	True
ROSITED	7	1800	64	27	0.039062	0.0625	0.11111	0	0.05	free	0.62963	0	0.074074	SITE		SITED	SITE	0.44791	5.7133	5.7123	False	True
TITANS	6	1400	92	27	0.021739	0.01087	0.037037	0.071429	0	free	0.62963	0	0	TIT		TIT	TIT	0.46998	5.7122	8.1223	False	True
BOREL	5	800	87	34	0.017241	0.022989	0.029412	0.052632	0.045455	free	0.85294	0	0	BORE		BORE	BORE	0.63007	5.7026	4.3426	False	True
ACTORS	6	1400	74	30	0.060811	0.054054	0.13333	0	0.1	free	0.7	0	0.033333	TOR		TORS	TOR	0.52076	5.6795	5.4873	False	True
BREEST	6	1400	50	22	0.04	0.04	0.045455	0.16667	0.076923	free	0.77273	0	0	REE		BREES	REE	0.57345	5.6762	3.8376	False	True
CRASES	6	1400	80	22	0.0625	0.0375	0.045455	0.1875	0.28571	free	0.77273	0	0.045455	RAS		RASES	RAS	0.57331	5.6747	5.9891	False	True
ANISES	6	1400	172	59	0.043605	0.040698	0.050847	0.11429	0.069767	free	0.32203	0	0			NIS	NIS	0.24756	5.6715	6.815	False	True
ATTARS	6	1400	68	21	0.0073529	0.014706	0.047619	0	0	free	0.80952	0	0	TAR		TAR	TAR	0.60006	5.669	5.3787	False	True
LEMANS	6	1400	55	21	0.027273	0.036364	0.047619	0	0	free	0.80952	0	0	MAN		MAN	MAN	0.60006	5.669	4.7459	False	True
